,N,C,c,c,c,c,c,c,O,C,F,F,F,c,c,n+,O-,c,c,c,Cl,c,Cl,c,c,n+,O-
F,0.020584699,0.007989912,0.008240449,0.008266186,0.008316599,0.008252013,0.008246299,0.008278048,0.005155824,0.008165168,0.008057397,0.008137757,0.008159762,0.008286178,0.008313669,0.0073722787,0.20939136,0.008222898,0.008210421,0.008196211,0.01265808,0.008348327,0.012664329,0.008269513,0.0082947025,0.007172214,0.20965405
c,0.027736064,0.0065257084,0.0032056442,0.0032093346,0.003235047,0.0031840578,0.0031649603,0.0031611954,0.0062772105,0.0064378455,0.003895253,0.003950894,0.003936432,0.003166025,0.003188479,0.017723698,0.20372997,0.0032764056,0.0032632423,0.0032592446,0.010584274,0.0032466454,0.010554707,0.0032665748,0.003259454,0.017598746,0.20089938
c,0.027942156,0.006501951,0.003190397,0.0031944532,0.0032202674,0.0031691918,0.0031501655,0.0031465224,0.006249073,0.0064173276,0.0038779394,0.003933216,0.003918778,0.0031512158,0.0031735352,0.017666923,0.20367278,0.0032617166,0.0032486185,0.003244499,0.010593526,0.0032317855,0.010564667,0.0032520127,0.0032446752,0.017543443,0.20082475
n+,0.022847872,0.010941467,0.005470819,0.0054523298,0.005510566,0.0054644267,0.005441769,0.0054379306,0.007515833,0.01087137,0.035739146,0.035344895,0.034980923,0.0054804757,0.0054997285,0.015581018,0.1478881,0.005509158,0.005490897,0.005489409,0.020114437,0.0055260556,0.020111803,0.0055247336,0.0055174422,0.015745029,0.14331089
O-,0.030595377,0.014935056,0.01099845,0.010896588,0.011054077,0.011112694,0.011083488,0.011060013,0.011295662,0.015303446,0.009608546,0.009643425,0.009611808,0.011200791,0.011217977,0.010251273,0.10115806,0.011222094,0.011095964,0.011077322,0.006246292,0.011224522,0.006254054,0.011282714,0.011319551,0.009794231,0.10167118
c,0.028243989,0.006520495,0.0032191954,0.003224219,0.0032508099,0.0031980637,0.003178922,0.00317587,0.0063899956,0.0064372635,0.003990607,0.004047289,0.0040328205,0.003181321,0.0032035303,0.017679526,0.20225242,0.0032930484,0.003278305,0.0032747413,0.0110001685,0.003263291,0.01097334,0.003284392,0.003276929,0.01756902,0.19946744
c,0.029082522,0.0065308264,0.0032452953,0.0032506785,0.0032772836,0.003223823,0.003204696,0.003202082,0.0064024935,0.006448906,0.0040782127,0.0041356483,0.0041215187,0.003209449,0.0032313813,0.017618695,0.2001844,0.0033209561,0.0033050983,0.0033015336,0.011184185,0.003291235,0.011157757,0.003311809,0.0033041958,0.017514141,0.1974403
c,0.02890888,0.006543624,0.0032675925,0.0032730156,0.0032995343,0.0032457314,0.0032265354,0.0032240287,0.006403383,0.006460712,0.0040949206,0.004152434,0.004138494,0.0032323804,0.0032543133,0.01761828,0.2000028,0.0033440168,0.0033278826,0.0033241466,0.011172582,0.0033142474,0.0111460835,0.0033342,0.0033265606,0.017511053,0.19727264
Cl,0.07225525,0.005863897,0.007902626,0.007923437,0.00792647,0.007897596,0.007899119,0.007927231,0.01777039,0.0059964433,0.024937186,0.024957065,0.024801604,0.007864952,0.007836548,0.019710224,0.18611139,0.008098259,0.008121136,0.008099152,0.01761515,0.007985461,0.017360788,0.007968145,0.00797954,0.019406505,0.18880208
c,0.029579064,0.006671374,0.003332433,0.003337034,0.0033645642,0.003310108,0.0032899557,0.0032867896,0.006397253,0.0065869056,0.0040092473,0.0040653944,0.004051987,0.0032988994,0.0033207363,0.017648783,0.19939494,0.0034118916,0.003395194,0.0033908219,0.010984167,0.0033810602,0.010955004,0.0034015365,0.0033931532,0.017546654,0.19654743
Cl,0.07126362,0.005892216,0.007850401,0.007869804,0.007873993,0.007845986,0.007847468,0.007875168,0.017720968,0.00602563,0.025393259,0.025408592,0.025250543,0.007816445,0.0077882996,0.019861063,0.18565981,0.008044356,0.008064901,0.008043193,0.018201493,0.0079326555,0.017932188,0.00791438,0.0079248855,0.019543957,0.18836889
c,0.029608881,0.0066739772,0.0033092855,0.0033138746,0.0033406678,0.0032859105,0.0032658037,0.0032626588,0.00644234,0.0065889917,0.004038196,0.0040947334,0.0040811105,0.003274725,0.0032966963,0.01763537,0.20001948,0.0033883618,0.0033716885,0.0033675958,0.010981435,0.0033578177,0.010953399,0.0033785896,0.0033701342,0.017529136,0.1971966
c,0.029206704,0.00664906,0.0032975336,0.003302666,0.0033295143,0.003274654,0.003254676,0.0032516886,0.006398343,0.0065665557,0.004006201,0.0040625567,0.0040489477,0.003262668,0.0032846353,0.017563853,0.200981,0.0033765526,0.0033603085,0.003355954,0.010928153,0.003345789,0.010901272,0.0033663448,0.0033579026,0.017453503,0.19816688
n+,0.023188483,0.011039621,0.0054945964,0.0054764356,0.005534731,0.0054887696,0.0054663764,0.005462999,0.0073545943,0.010976211,0.035545167,0.035147227,0.034785632,0.005507563,0.0055260547,0.015328188,0.1481024,0.0055347215,0.005516067,0.005514348,0.019939013,0.005553827,0.019939613,0.0055503417,0.0055418704,0.015483903,0.14350879
O-,0.03140162,0.014804726,0.010983082,0.010882288,0.011042491,0.011102524,0.011073164,0.011049153,0.011075551,0.015171656,0.009656556,0.00969496,0.009663211,0.011193449,0.011209094,0.010049462,0.1021107,0.011212676,0.011086374,0.011067296,0.006257875,0.011210663,0.0062642684,0.011266949,0.01130294,0.009593761,0.10253853
