,N,C,c,c,c,c,c,c,O,C,F,F,F,c,c,n+,O-,c,c,c,Cl,c,Cl,c,c,n+,O-
c,0.01937214,0.0012682235,0.004903372,0.004822567,0.004914268,0.0048918165,0.004850593,0.0048363833,0.0053535243,0.0012466556,0.002954713,0.002997289,0.0030236873,0.0049565346,0.0049252445,0.0065252883,0.20024331,0.005088342,0.005109237,0.0051157544,0.07467144,0.0050564623,0.07362782,0.005024312,0.005013848,0.0065323915,0.1990748
n+,0.022869132,0.0014532338,0.005633618,0.005529229,0.005571512,0.005553279,0.0055305134,0.0055307085,0.0039471816,0.001419963,0.004355566,0.0044111153,0.0043758578,0.0056309253,0.0056169564,0.009441271,0.2373133,0.0057170885,0.005666593,0.0056386595,0.06529386,0.005596437,0.06529997,0.0055962447,0.005574487,0.009332085,0.23295748
O-,0.022216292,0.00671472,0.003265239,0.0032325368,0.003249834,0.003265929,0.0032637932,0.003262982,0.008757179,0.0067285188,0.0140247205,0.014026748,0.014092619,0.003355511,0.0033515715,0.011812729,0.19009449,0.0033175682,0.0032987301,0.0032845747,0.032569885,0.0032861608,0.031966742,0.0033189629,0.0033289853,0.011702767,0.1838216
c,0.019162398,0.0012096853,0.0050173174,0.004931277,0.0050238585,0.005000058,0.0049569965,0.004942073,0.0054604174,0.0011891659,0.0028452675,0.0028859067,0.00291166,0.0050668567,0.005033286,0.0064724367,0.20214061,0.0052053384,0.0052266507,0.005234659,0.07450188,0.0051678675,0.073453166,0.00513561,0.0051233955,0.0064743045,0.20097962
c,0.019287292,0.0012024369,0.005066556,0.0049781543,0.0050725886,0.0050504403,0.005007617,0.004992892,0.005485748,0.0011820749,0.0028626863,0.0029039816,0.0029300803,0.005120886,0.0050869943,0.006445821,0.20191443,0.0052579124,0.0052778004,0.005285575,0.07447928,0.005217003,0.073414996,0.005184,0.0051720757,0.006447194,0.20078006
c,0.019045468,0.0012057576,0.0050740405,0.004985563,0.0050801965,0.0050581614,0.005015373,0.0050007203,0.005479094,0.0011854114,0.0028937387,0.002935641,0.0029620335,0.0051296367,0.0050958036,0.0064468984,0.20179318,0.0052662296,0.0052858605,0.005293189,0.074454665,0.0052245185,0.073379934,0.0051910584,0.0051793107,0.0064480333,0.20068376
Cl,0.02682095,0.007842983,0.007525029,0.0074523035,0.0075253695,0.0076110535,0.007651792,0.007689175,0.008971582,0.007803413,0.02155121,0.021690011,0.0216949,0.0078069926,0.007784048,0.014438096,0.12931344,0.0076484936,0.0075831516,0.007580107,0.0669748,0.007531274,0.06669026,0.0075881435,0.007621064,0.014559511,0.13038287
c,0.019320142,0.001255073,0.004982886,0.004899882,0.0049929284,0.0049712784,0.0049299696,0.0049158656,0.0054674614,0.00123528,0.0030129075,0.0030562503,0.0030837986,0.0050433446,0.005011163,0.006485068,0.20091136,0.005172059,0.0051914123,0.005198406,0.07462228,0.0051368047,0.07349496,0.005101696,0.0050913827,0.006489838,0.19973095
Cl,0.026458863,0.00785909,0.0075400155,0.007467757,0.0075414088,0.007626761,0.0076674893,0.0077049932,0.008974349,0.007822827,0.021573089,0.021713238,0.021716965,0.007824515,0.007801094,0.014390668,0.12955983,0.0076633566,0.007598084,0.0075963945,0.06757842,0.007547809,0.06725573,0.0076039596,0.007636591,0.01450939,0.13058613
c,0.018977882,0.0012329486,0.00499171,0.0049086404,0.0050019524,0.004978829,0.004936831,0.0049225604,0.0055577485,0.0012125737,0.0030121114,0.003055496,0.0030830463,0.0050497567,0.005016847,0.0065009207,0.20024526,0.0051816064,0.0052014757,0.0052092285,0.074678704,0.0051470166,0.073570706,0.005110989,0.0050999136,0.006503675,0.19908111
c,0.018964166,0.0012434913,0.004978094,0.0048958566,0.0049882266,0.004965133,0.004923506,0.0049094087,0.0055429097,0.0012227594,0.0030229962,0.0030665488,0.0030940813,0.005035203,0.005002488,0.006515218,0.20031737,0.005166545,0.0051863585,0.005193884,0.07468618,0.0051326854,0.0735979,0.0050971243,0.005086137,0.006518606,0.19917311
n+,0.023452125,0.0014616998,0.0056406492,0.0055390312,0.005581114,0.005563636,0.0055424124,0.0055436078,0.004006925,0.0014284956,0.004330147,0.0043837493,0.0043502958,0.0056450213,0.005630104,0.009314345,0.23673297,0.0057252655,0.0056735724,0.0056474064,0.065274544,0.0056082606,0.06527765,0.0056047738,0.005583238,0.009211355,0.23240966
O-,0.022654075,0.006727231,0.003219285,0.0031873982,0.0032044486,0.0032194222,0.0032172664,0.0032167523,0.008635184,0.0067410367,0.013831387,0.01383085,0.013897086,0.0033088718,0.003305094,0.011934263,0.18934841,0.0032737257,0.0032544571,0.0032396899,0.033817083,0.0032406875,0.03318056,0.0032741146,0.0032841016,0.011824429,0.1830654
