,N,C,c,c,c,c,c,c,O,C,F,F,F,c,c,n+,O-,c,c,c,Cl,c,Cl,c,c,n+,O-
F,0.06196794,0.01019285,0.010606671,0.0106041245,0.010683803,0.010701013,0.010731036,0.010787992,0.0071478547,0.01038339,0.009055106,0.009140792,0.009123988,0.0108348355,0.010857863,0.020403577,0.13624571,0.010659176,0.0106808115,0.0107044205,0.007386656,0.01093575,0.00736572,0.01095725,0.010983489,0.020225683,0.13749276
F,0.06326688,0.010237808,0.010612436,0.010609403,0.010691104,0.01070975,0.010739863,0.010796453,0.0071176034,0.010427775,0.009061887,0.009148121,0.009130974,0.0108414255,0.010865033,0.02041571,0.13602327,0.010665695,0.010687482,0.010711528,0.0072601973,0.010946409,0.007239666,0.010966657,0.010993576,0.020242669,0.13723569
F,0.06387981,0.010239073,0.0106205605,0.010616702,0.010696704,0.010714861,0.010745218,0.010802324,0.007109913,0.010426889,0.00895486,0.009038941,0.009021528,0.01084724,0.010870604,0.02040116,0.13589795,0.010670645,0.010692336,0.010716191,0.0072268727,0.010951759,0.007205604,0.010971786,0.01099872,0.020233035,0.13710245
c,0.010597682,0.008739318,0.009336004,0.009410417,0.00945344,0.009269734,0.009248431,0.009314319,0.01789687,0.008963603,0.03743869,0.037413213,0.03736652,0.009425699,0.009398574,0.010492357,0.08064769,0.009637417,0.009450961,0.009411284,0.016421774,0.009489432,0.01626865,0.009643781,0.009695907,0.0103554465,0.07937367
c,0.0106187165,0.008769605,0.0093151415,0.009389558,0.00943253,0.009248791,0.009227502,0.009293411,0.01778188,0.008994251,0.037674837,0.037649646,0.037601456,0.009404318,0.0093774665,0.010532386,0.08058258,0.009618039,0.009431813,0.009391906,0.016571589,0.009468234,0.016417129,0.009624302,0.009676109,0.010395565,0.07930199
n+,0.014677864,0.0062951082,0.007727453,0.0077923425,0.007872854,0.007777393,0.0077482597,0.0077730264,0.011285897,0.0065309675,0.021236762,0.021104839,0.021067841,0.007978575,0.007930365,0.030604457,0.13217363,0.007830115,0.007792227,0.0078014964,0.021994233,0.007835035,0.021720603,0.007847048,0.007855944,0.029586114,0.12911399
O-,0.026570942,0.012383153,0.016207822,0.015995452,0.016147671,0.016329262,0.016414369,0.016464783,0.022583108,0.01243209,0.012462598,0.012642098,0.01263401,0.016399615,0.01656508,0.040911958,0.05080372,0.016350772,0.016279211,0.016317692,0.0058465553,0.016725559,0.0058772992,0.016191287,0.016194575,0.0406088,0.051110853
c,0.010481784,0.008662054,0.009329977,0.0094085485,0.009454156,0.009266542,0.009244571,0.009311244,0.017728958,0.008889666,0.03764593,0.037622903,0.03757653,0.009426033,0.009397225,0.010313693,0.08086598,0.009640791,0.009448241,0.009408628,0.016492343,0.0094853,0.016339429,0.0096428525,0.009695867,0.010170168,0.07964696
c,0.0106174955,0.0086880205,0.009274348,0.009352803,0.009399507,0.009212233,0.009190414,0.009257463,0.01734961,0.0089182975,0.0374141,0.037388623,0.037346933,0.009375084,0.009346752,0.010221933,0.080275975,0.009588542,0.009394358,0.009354769,0.01663482,0.009434421,0.016481057,0.009591167,0.009645405,0.010075233,0.07905953
c,0.010640617,0.008719555,0.009263936,0.009341831,0.009388035,0.009201274,0.009179847,0.009247299,0.017289644,0.008950941,0.03709712,0.03707145,0.037031077,0.009364957,0.009337294,0.010212822,0.0800806,0.009578829,0.009384941,0.009345275,0.016667841,0.009426043,0.016514676,0.009582407,0.009636976,0.010066423,0.078868516
Cl,0.066758804,0.017704988,0.008398489,0.008420693,0.0083804745,0.00838751,0.008430803,0.008501123,0.025630964,0.018064233,0.0142808,0.014317357,0.014283598,0.00847376,0.0084532,0.022537133,0.1303489,0.008615339,0.008640939,0.008645732,0.01199246,0.008620131,0.011951756,0.008677178,0.008719603,0.022530023,0.13178286
c,0.010795301,0.008766395,0.009413979,0.009490108,0.009535054,0.009350223,0.009329244,0.009396567,0.017956628,0.008999311,0.036439806,0.036410812,0.036369964,0.009513147,0.009485196,0.010489699,0.08050903,0.009727306,0.009534409,0.009494217,0.016347196,0.009574963,0.016199019,0.009731731,0.0097849835,0.010344616,0.07927256
Cl,0.06689301,0.017682478,0.008391093,0.008413078,0.00837422,0.008381087,0.008423572,0.008493204,0.02539591,0.01804277,0.014230032,0.014266129,0.014231449,0.008466293,0.0084453765,0.022600498,0.13173398,0.008606299,0.008632005,0.00863713,0.011817879,0.008613477,0.01177909,0.008667169,0.008708755,0.022596154,0.13319857
c,0.010792056,0.008749234,0.009347856,0.009424122,0.009464499,0.009278959,0.009258684,0.009326431,0.017942864,0.008979022,0.036844835,0.036818735,0.03677763,0.00944202,0.009414745,0.010378464,0.08071374,0.009656835,0.009464273,0.00942371,0.016457068,0.009502317,0.016304798,0.009658749,0.009712236,0.010238547,0.07949912
c,0.010735082,0.008778898,0.009350818,0.0094274,0.009468084,0.009282246,0.00926176,0.009329455,0.01785018,0.009008501,0.036823004,0.03679746,0.03675421,0.009445229,0.009417688,0.010395075,0.08084592,0.009661056,0.00946917,0.009428369,0.016482888,0.009505644,0.016331177,0.0096627865,0.00971542,0.010256136,0.079642124
n+,0.0154556865,0.0062870504,0.007745002,0.007808255,0.00788729,0.0077949455,0.0077660475,0.007790159,0.011148645,0.00652109,0.021210117,0.021073112,0.021038234,0.007996892,0.007946967,0.030254383,0.13411976,0.007845011,0.007808711,0.007817565,0.021728938,0.007849007,0.021460323,0.007859126,0.007865274,0.029255146,0.1310811
O-,0.026894467,0.012507554,0.016138315,0.015925383,0.016083175,0.016269147,0.016352888,0.01640037,0.022326278,0.012554261,0.012552979,0.012735608,0.012725749,0.016345669,0.016508877,0.041449223,0.050492454,0.016289527,0.01621909,0.016258297,0.0057647186,0.016665181,0.005796374,0.01612526,0.016127083,0.04113987,0.050776742
