Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units
CHEMBL390125,C[C@]12CC[C@@H]3c4ccc(OCCCCCCC[n+]5ccccc5)cc4CC[C@H]3[C@@H]1CCC2=O.[Br-],MIC,'=',32000,nM
CHEMBL1631154,CC(=O)N[C@@H](Cc1ccccc1)C(=O)Oc1cc(Cl)ccc1C(=O)Nc1ccc(C(F)(F)F)cc1,MIC,'=',8000,nM
CHEMBL1631145,CC(=O)N[C@@H](Cc1ccccc1)C(=O)Oc1ccc(Cl)cc1C(=O)Nc1cccc(Cl)c1,MIC,'=',4000,nM
CHEMBL1631149,CC(=O)N[C@@H](Cc1ccccc1)C(=O)Oc1ccc(Cl)cc1C(=O)Nc1ccc(Br)cc1,MIC,'=',2000,nM
CHEMBL1631155,CC(=O)N[C@@H](Cc1ccccc1)C(=O)Oc1ccc(Br)cc1C(=O)Nc1ccc(C(F)(F)F)cc1,MIC,'=',500,nM
CHEMBL484145,COc1cc(C(=O)/C=C/c2ccc3ccccc3c2)ccc1O,Activity,'=',8.5,%
CHEMBL1210546,CCNC(=S)NNC(=O)c1cnccn1,IC90,'=',16.87,ug.mL-1
CHEMBL1210949,COc1c(N2CCCC(N(C)CCN3C(=O)/C(=N\NC(N)=S)c4cc(F)ccc43)C2)ccc2c(=O)c(C(=O)O)cn(C3CC3)c12,MIC,'=',4,ug.mL-1
CHEMBL227875,,,,,
CHEMBL399885,,,,,
CHEMBL399885,,,,,
CHEMBL4091232,Clc1ccc2nc(-c3ccccc3)c(OCCCOc3ccccc3)n2c1,MIC=>80,'<',0.5,uM
CHEMBL4104517,Clc1ccc2nc(-c3ccccc3)c(OCCN3CCOCC3)n2c1,MIC=>80,'>',200,uM
CHEMBL252384,,,,,
CHEMBL32147,,,,,
CHEMBL251721,Cn1c([N+](=O)[O-])cnc1C#Cc1ccnc(N)n1,MIC,'=',16,ug.mL-1
CHEMBL268316,CN1C(NNC(=O)c2ccc(-c3ccccc3[N+](=O)[O-])o2)=NS(=O)(=O)c2ccccc21,MIC,'>',100,ug.mL-1
CHEMBL400938,O=[N+]([O-])c1ccc(/C=N\NC2=NS(=O)(=O)c3ccccc3N2c2ccccc2)o1,MIC,'=',1,ug.mL-1
CHEMBL1254513,COc1ccc(Cn2ccc3c(-c4cccs4)nc(Cl)nc32)cc1,MIC,'=',90,nM
CHEMBL4105458,Cl.NCC1OB(O)c2c(OCCO)ccc(Br)c21,MIC,'=',160,nM
CHEMBL4099978,Cl.NCC1OB(O)c2cc(OCCO)cc(Cl)c21,MIC,'>',5000,nM
CHEMBL247810,C=CCNC(=O)C(C)(C(C)C)N(C(=O)c1cccnc1)C(C)c1ccccc1,GI,'=',83,%
CHEMBL247631,C=CCNC(=O)C(C)(C(C)C)N(Cc1ccncc1)C(=O)c1cccnc1,GI,'=',52,%
CHEMBL247987,C=CCNC(=O)C1(N(CCCN2CCOCC2)C(=O)c2cccnc2)CCCCC1,GI,'=',49,%
CHEMBL247627,C=CCNC(=O)C(C)(c1ccccc1)N(C(=O)c1cccnc1)C1CC1,GI,'=',72,%
CHEMBL247445,C=CCNC(=O)C(C)(c1ccccc1)N(C(=O)c1cccnc1)C(C)c1ccccc1,GI,'=',83,%
CHEMBL400561,C=CCNC(=O)C(N(CC(C)(C)C)C(=O)c1cccnc1)C(Cl)(Cl)Cl,GI,'=',74,%
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,MIC,'=',0.004,ug.mL-1
CHEMBL247021,C=CCNC(=O)C(CCCC)N(C(=O)c1cccnc1)C1CCCCC1,GI,'=',100,%
CHEMBL1255053,CCCCCOc1ccc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)on2)cc1OC,MIC,'=',1.25,ug.mL-1
CHEMBL1253790,CCCCCOc1ccc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)no2)cc1OC,MIC,'=',6.25,ug.mL-1
CHEMBL1254145,COc1cc(/C=C/c2cc(/C=C/c3ccc(OC)c(OC)c3)on2)ccc1O,MIC,'=',12.5,ug.mL-1
CHEMBL1253958,CCCCCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OCCCCC)c(OC)c2)cc1OC,MIC,'=',100,ug.mL-1
CHEMBL4074178,Cl.NCC1OB(O)c2c3c(cc(Cl)c21)OCO3,MIC,'>',5000,nM
CHEMBL4062801,NCC1OB(O)c2c3c(cc(Br)c21)OCO3.O=C(O)C(F)(F)F,MIC,'>',5000,nM
CHEMBL4082159,Cl.NC[C@H]1OB(O)c2c(OCCO)ccc(Cl)c21,Activity,'=',4.3,log10CFU
CHEMBL1097172,Cc1cn([C@H]2C[C@H](Br)[C@@H](CO)O2)c(=O)[nH]c1=O,Inhibition,'=',100,%
CHEMBL1097819,O=c1[nH]c(=O)n([C@H]2C[C@@H](Cl)[C@@H](CO)O2)cc1F,Inhibition,'=',60,%
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,Inhibition,'=',100,%
CHEMBL1096489,Cc1cn([C@@H]2O[C@H](CO)[C@@H](Br)[C@@H]2O)c(=O)[nH]c1=O,MIC50,'=',1,ug.mL-1
CHEMBL247448,C=CCNC(=O)C1(N(C(=O)c2cccnc2)C(C)c2ccccc2)CCN(Cc2ccccc2)CC1,GI,'=',54,%
CHEMBL247447,C=CCNC(=O)C1(N(CC=C)C(=O)c2cccnc2)CCN(Cc2ccccc2)CC1,GI,'=',94,%
CHEMBL1222430,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)NCc1ccccc1,MIC,'=',25,ug.mL-1
CHEMBL1222430,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)NCc1ccccc1,MIC,'=',12.5,ug.mL-1
CHEMBL1760518,CC1=C2OCCCCCN3C(=O)C(O)(c4cc(Br)ccc43)C2(C)SC1=O,MIC,'>',128000,nM
CHEMBL1760520,CC1=C2OCCCCCCN3C(=O)C(O)(c4ccccc43)C2(C)SC1=O,MIC,'>',128000,nM
CHEMBL1760527,O=C1C(=O)N(CCCCBr)c2ccc(Cl)cc21,MIC,'=',30500,nM
CHEMBL1760391,CC1=C(OCCN2C(=O)C(=O)c3cc(Cl)ccc32)C(C)SC1=O,MIC,'=',117200,nM
CHEMBL1760398,CC1=C(OCCCCCN2C(=O)C(=O)c3ccccc32)C(C)SC1=O,MIC,,,
CHEMBL1760510,CC1=C2OCCCCN3C(=O)C(O)(c4cc(Br)ccc43)C2(C)SC1=O,MIC,,,
CHEMBL1760516,CC1=C2OCCCCCN3C(=O)C(O)(c4ccccc43)C2(C)SC1=O,MIC,,,
CHEMBL1760520,CC1=C2OCCCCCCN3C(=O)C(O)(c4ccccc43)C2(C)SC1=O,MIC,,,
CHEMBL1760525,O=C1C(=O)N(CCCBr)c2ccccc21,MIC,,,
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,MIC,'=',2400,nM
CHEMBL1760521,CC1=C2OCCCCCCN3C(=O)C(O)(c4cc(Cl)ccc43)C2(C)SC1=O,Inhibition,'=',-20,%
CHEMBL1760508,CC1=C(OCCCCCCN2C(=O)C(=O)c3ccccc32)C(C)SC1=O,MIC,'>',128000,nM
CHEMBL1760515,CC1=C2OCCCCN3C(=O)C(O)(c4cc([N+](=O)[O-])ccc43)C2(C)SC1=O,MIC,'>',128000,nM
