mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_max_leaf_nodes,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06800413131713867,0.0015810464782251188,0.006546115875244141,0.0004581766351965179,1,50,10,"{'max_features': 1, 'max_leaf_nodes': 50, 'n_estimators': 10}",0.6095791001451378,0.5960328979196904,0.5977734753146177,0.611326234269119,0.6074540174249758,0.6044331450147082,0.006293433968263185,35
0.11753320693969727,0.0029473138614946044,0.009402322769165038,0.0004911145970963283,1,50,30,"{'max_features': 1, 'max_leaf_nodes': 50, 'n_estimators': 30}",0.6153846153846154,0.6105466860183841,0.6030977734753146,0.6026137463697967,0.6137463697967086,0.6090778382089639,0.005315520613075489,31
0.16682376861572265,0.003425614239075028,0.012572669982910156,0.0006866525212565507,1,50,50,"{'max_features': 1, 'max_leaf_nodes': 50, 'n_estimators': 50}",0.6221577164973391,0.6028059990324142,0.595837366892546,0.5987415295256534,0.6060019361084221,0.605108909611275,0.009200736310069213,34
0.22088441848754883,0.006595687754076902,0.01563601493835449,0.0005239799788375504,1,50,70,"{'max_features': 1, 'max_leaf_nodes': 50, 'n_estimators': 70}",0.6129656507014998,0.6095791001451378,0.5876089060987415,0.6074540174249758,0.6147144240077445,0.6064644196756198,0.009762576572939231,33
0.2715099334716797,0.0037378480326121823,0.019597244262695313,0.0019874908378992484,1,50,90,"{'max_features': 1, 'max_leaf_nodes': 50, 'n_estimators': 90}",0.6207063376874697,0.6066763425253991,0.5972894482090997,0.6045498547918683,0.6127783155856728,0.608400059759902,0.00789752580166285,32
0.14772343635559082,0.006106195842965177,0.007198810577392578,0.0004457615202086547,10,20,10,"{'max_features': 10, 'max_leaf_nodes': 20, 'n_estimators': 10}",0.6623125302370585,0.6623125302370585,0.6660212971926428,0.6790900290416263,0.649080348499516,0.6637633470415805,0.009589637167297257,30
0.3474836826324463,0.015111900943238717,0.011439132690429687,0.0010769633966942259,10,20,30,"{'max_features': 10, 'max_leaf_nodes': 20, 'n_estimators': 30}",0.6734397677793904,0.6802128688921142,0.675701839303001,0.6781219748305906,0.6844143272023233,0.6783781556014838,0.0037793521204539217,28
0.5469032287597656,0.010918765333602335,0.015361356735229491,0.0012515276512020895,10,20,50,"{'max_features': 10, 'max_leaf_nodes': 20, 'n_estimators': 50}",0.6744073536526367,0.6782776971456217,0.6848983543078412,0.686350435624395,0.6771539206195547,0.6802175522700098,0.004613663419073197,26
0.7394915580749511,0.029036274570026544,0.01788182258605957,0.0010063922833598144,10,20,70,"{'max_features': 10, 'max_leaf_nodes': 20, 'n_estimators': 70}",0.6840832123850992,0.6787614900822448,0.6921587608906099,0.691190706679574,0.6771539206195547,0.6846696181314165,0.006170047211408013,20
0.9084187507629394,0.01172989976482667,0.02096281051635742,0.0004925490712443056,10,20,90,"{'max_features': 10, 'max_leaf_nodes': 20, 'n_estimators': 90}",0.6821480406386067,0.6782776971456217,0.6902226524685382,0.6882865440464666,0.6786060019361084,0.6835081872470684,0.0049225234023520135,22
0.16129894256591798,0.0066699078211911855,0.007999944686889648,0.0008945756294415197,10,30,10,"{'max_features': 10, 'max_leaf_nodes': 30, 'n_estimators': 10}",0.6705370101596516,0.6719883889695211,0.6815101645692159,0.7037754114230397,0.6713455953533398,0.6798313140949535,0.012617775703335955,27
