mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.18638987541198732,0.0075382717892894064,0.007751274108886719,0.0003874330051026483,0.3,0.01,2,10,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 10, 'subsample': 0.5}",0.521528785679729,0.5224963715529753,0.5295256534365924,0.5237173281703775,0.5256534365924492,0.5245843150864248,0.002828684498212347,119
0.26591835021972654,0.004128020852474343,0.008003139495849609,3.5987782028414168e-06,0.3,0.01,2,30,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 30, 'subsample': 0.3}",0.5655539429124334,0.5607160135462023,0.57405614714424,0.5667957405614714,0.5682478218780251,0.5670739332084744,0.004311385627245866,108
0.27381324768066406,0.0061984826160350484,0.012399959564208984,0.009304143145650267,0.3,0.01,2,30,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 30, 'subsample': 0.5}",0.5718432510885341,0.5684567005321722,0.57405614714424,0.5648596321393998,0.5653436592449177,0.5689118780298528,0.0035893320085679512,107
0.345302152633667,0.0017772602277454407,0.007400035858154297,0.00048346846092453457,0.3,0.01,2,50,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 50, 'subsample': 0.3}",0.5940977261731979,0.5921625544267054,0.6016456921587608,0.585188770571152,0.5876089060987415,0.5921407298857115,0.005710372732831959,101
0.34711446762084963,0.0013278539113775528,0.007559823989868164,0.00045998907561564,0.3,0.01,2,50,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 50, 'subsample': 0.5}",0.5979680696661829,0.5921625544267054,0.6006776379477251,0.5880929332042595,0.5885769603097774,0.59349563111093,0.005034749038455859,100
0.43060998916625975,0.006081980320828686,0.012402057647705078,0.009303259201607655,0.3,0.01,2,70,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 70, 'subsample': 0.3}",0.6028059990324142,0.613933236574746,0.6122942884801549,0.5997095837366893,0.5987415295256534,0.6054969274699314,0.006383498613509287,93
0.43116188049316406,0.007788862758418218,0.008003139495849609,0.000629102913468079,0.3,0.01,2,70,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 70, 'subsample': 0.5}",0.6052249637155298,0.6086115142718916,0.6050338818973863,0.6108422071636012,0.6045498547918683,0.6068524843680555,0.002460500582147479,92
0.5049819946289062,0.0037114317800182196,0.007689237594604492,0.0004029000572092331,0.3,0.01,2,90,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 90, 'subsample': 0.3}",0.6197387518142236,0.6192549588776004,0.616650532429816,0.6127783155856728,0.6142303969022265,0.6165305911219079,0.002723942942185229,84
0.514346981048584,0.007421244014694069,0.012218236923217773,0.008697998832820351,0.3,0.01,2,90,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 90, 'subsample': 0.5}",0.6178035800677311,0.6207063376874697,0.6098741529525653,0.6127783155856728,0.6176185866408519,0.6157561945868582,0.003889225766649609,85
0.18821444511413574,0.00084394019112382,0.007601165771484375,0.0004908844724907678,0.3,0.01,3,10,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.3}",0.525399129172714,0.5239477503628447,0.531945788964182,0.5324298160696999,0.5324298160696999,0.5292304601278282,0.003753155656878131,116
0.19662246704101563,0.007232643204237581,0.008023643493652343,5.1290613832344815e-05,0.3,0.01,3,10,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 10, 'subsample': 0.5}",0.528785679729076,0.5321722302854378,0.5363020329138432,0.5329138431752178,0.5309777347531461,0.5322303041713441,0.002469167503196559,115
0.2827692985534668,0.0023018417019910384,0.007397365570068359,0.0004888597801296365,0.3,0.01,3,30,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 30, 'subsample': 0.3}",0.5815191098209966,0.5839380745041123,0.5943852855759922,0.5900290416263311,0.585188770571152,0.5870120564197169,0.004613304810378589,104
0.28751049041748045,0.0059562348056488275,0.0076027393341064455,0.0004890585278329837,0.3,0.01,3,30,0.5,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 30, 'subsample': 0.5}",0.5897435897435898,0.5887760038703435,0.6006776379477251,0.5837366892545982,0.5813165537270087,0.588850094908653,0.0066872379494312744,103
0.37262258529663084,0.0030268386839323695,0.007400226593017578,0.0004898521552677091,0.3,0.01,3,50,0.3,"{'colsample_bytree': 0.3, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'subsample': 0.3}",0.6178035800677311,0.6207063376874697,0.6161665053242982,0.6185866408518877,0.6185866408518877,0.6183699409566549,0.0014648249462234067,80
