Molecule ChEMBL ID,Smiles,Standard Type,MIC,Units
CHEMBL1254145,COc1cc(/C=C/c2cc(/C=C/c3ccc(OC)c(OC)c3)on2)ccc1O,MIC,12.5,ug.mL-1
CHEMBL1253958,CCCCCOc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(OCCCCC)c(OC)c2)cc1OC,MIC,100.0,ug.mL-1
CHEMBL1222430,CCCCCC[C@@H](O)C/C=C\CCCCCCCC(=O)NCc1ccccc1,MIC,25.0,ug.mL-1
CHEMBL199467,COc1ccc(C(c2ccc(OCC(O)CN3CCCC3)cc2)c2cc3ccccc3c3ccccc23)cc1,MIC,12.5,ug.mL-1
CHEMBL198691,COc1ccc(C(c2ccc(OCC(O)CNC3CC3)cc2)c2cc3ccccc3c3ccccc23)cc1,MIC,25.0,ug.mL-1
CHEMBL360235,O=C(CN(/N=C/c1ccc(Cl)cc1)C(=O)c1ccncc1)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1,MIC,16.0,ug.mL-1
CHEMBL64,NNC(=O)c1ccncc1,MIC,27.0,ug.mL-1
CHEMBL2164534,C[C@@H]1C[C@]23CC[C@@H]4[C@](C)(CCC[C@]4(C)C(=O)O)[C@H]2CC[C@@]1(OC(=O)CCCCCCCCC(=O)O[C@]12CC[C@@H]4[C@](CC[C@H]5[C@@]4(C)CCC[C@@]5(C)C(=O)O)(C[C@@H]1C)C2)C3,MIC,20.0,ug.mL-1
CHEMBL380277,Oc1[nH]c2ccc(F)cc2c1/N=N/C(S)=N/c1ncc(C2CCC2)o1,MIC,12.5,ug.mL-1
CHEMBL207679,S=C(NN=C(c1ccccc1)c1ccccc1)Nc1ncc(C2CCC2)o1,MIC,0.1,ug.mL-1
CHEMBL208043,C/C(=N\N=C(/S)Nc1ncc(C2CCC2)o1)c1ccc(O)cc1,MIC,3.12,ug.mL-1
CHEMBL207383,C/C(=N\N=C(/S)Nc1ncc(C2CCC2)o1)c1ccccc1O,MIC,3.12,ug.mL-1
CHEMBL210332,Oc1[nH]c2ccccc2c1/N=N/C(S)=N/c1ncc(C2CCC2)o1,MIC,25.0,ug.mL-1
CHEMBL378128,C/C(=N\N=C(/S)Nc1ncc(C2CCC2)o1)c1ccc(C)cc1,MIC,0.78,ug.mL-1
CHEMBL382147,COc1c(N2CCN(Cn3c(O)c(/N=N/C(=O)c4ccncc4)c4ccccc43)C(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,MIC,0.2,ug.mL-1
CHEMBL1242899,CCn1cc(C(=O)N2N=C(c3cc4ccccc4o3)CC2c2ccco2)c(=O)c2ccc(C)nc21,MIC,8.5,ug.mL-1
CHEMBL1276657,COc1ccc(C2c3ccc4cccnc4c3OC3NC(=S)NC(=S)C32)cc1,MIC,125.0,ug.mL-1
CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,MIC,0.06,ug.mL-1
CHEMBL1256993,COc1c(N2CC[C@@H](C(C)(C)N)C2)c(F)cc2c(=O)c3c(=O)[nH]sc3n(C3CC3)c12,MIC,0.03,ug.mL-1
CHEMBL1829179,O=C(O)c1ccc(N/C=N/NC(=O)c2ccccc2F)cc1O,MIC,2.0,ug.mL-1
CHEMBL1829182,O=C(N/N=C/N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1)c1ccc(F)cc1,MIC,1.0,ug.mL-1
CHEMBL4063370,O=[N+]([O-])c1ccc(-c2ncncc2Br)o1,MIC,1.5,ug.mL-1
CHEMBL4104910,Cc1ccc(CN2CCn3nc(C(=O)N4CCCCC4)cc3C2=O)cc1,MIC,8.0,ug.mL-1
CHEMBL4087055,CC(C)(C)c1ccc(CN2CCn3nc(C(=O)N4CCCCC4)cc3C2=O)cc1,MIC,8.0,ug.mL-1
CHEMBL4068649,COc1nc2ccc(Br)cc2cc1C(c1ccccc1)C(O)(CCN(C)C)c1cccc2ccccc12,MIC,0.25,ug.mL-1
CHEMBL4074981,CC(=O)N1CCN(C(=O)c2cc3n(n2)CCN(Cc2ccc(Cl)c(Cl)c2)C3=O)CC1,MIC,32.0,ug.mL-1
CHEMBL4096336,CC(C)(C)OC(=O)N1CCN(C(=O)c2cc3n(n2)CCN(Cc2ccc(Cl)c(Cl)c2)C3=O)CC1,MIC,32.0,ug.mL-1
CHEMBL1823283,Cc1ccc(-n2cc(CO)nn2)cc1,MIC,100.0,ug.mL-1
CHEMBL1823288,COc1cccc(-n2cc(CO)nn2)c1,MIC,100.0,ug.mL-1
CHEMBL1823334,C=Cc1cn(-c2ccc([N+](=O)[O-])cc2)nn1,MIC,100.0,ug.mL-1
CHEMBL4100025,CC(NC(=O)c1cc2ccccc2[nH]1)C12CC3CC(CC(C3)C1)C2,MIC,5.0,ug.mL-1
CHEMBL2397463,O=C(NCc1ccccc1Cl)c1cnc(Cl)cn1,MIC,25.0,ug.mL-1
CHEMBL272518,COc1ccc(C(c2ccc(OCC(O)CN3CCSCC3)cc2)c2cccs2)cc1,MIC,12.5,ug.mL-1
CHEMBL401591,CCN(CC)CCOc1ccc(C(c2ccc(Cl)cc2)c2cccs2)cc1,MIC,3.12,ug.mL-1
CHEMBL1807838,COc1cc(/C=C2\CCCCc3c2nc(N)nc3-c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,MIC,12.5,ug.mL-1
CHEMBL44884,CC[C@@H](CO)NCCN[C@@H](CC)CO,MIC,3.25,ug.mL-1
CHEMBL1831146,COc1ccc2nc(C)cc(NC(=O)CN3CC(CN4CCN(C(C)C)CC4)OC3=O)c2c1,MIC,5.0,ug.mL-1
CHEMBL1831151,COc1ccc2nc(C)cc(NC(=O)CN3CC(CN4CCCCC4)OC3=O)c2c1,MIC,100.0,ug.mL-1
CHEMBL1800191,CC(=O)N(O)CCC(c1ccccc1-c1cccnc1)P(=O)(O)O,MIC,32.0,ug.mL-1
CHEMBL399479,c1ccc(C(c2ccccc2)c2c(OCCN3CCCC3)ccc3ccccc23)cc1,MIC,6.25,ug.mL-1
CHEMBL249037,Clc1ccc(C(c2ccccc2)c2c(OCCN3CCCCC3)ccc3ccccc23)cc1,MIC,6.25,ug.mL-1
CHEMBL249432,CN(C)CCOc1ccc(C(c2ccccc2)c2ccccc2)c2ccccc12,MIC,6.25,ug.mL-1
CHEMBL250034,Fc1ccc(C(c2ccccc2)c2ccc(OCCN3CCCCC3)c3ccccc23)cc1,MIC,12.5,ug.mL-1
CHEMBL249836,Fc1ccc(C(c2ccccc2)c2ccc(OCCN3CCCC3)c3ccccc23)cc1,MIC,12.5,ug.mL-1
CHEMBL2418271,CC(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(Cl)cc3C2=O)cc1,MIC,6.25,ug.mL-1
CHEMBL2418896,COc1ccc(S(=O)(=O)n2c(COc3ccc([N+](=O)[O-])cc3)nc3ccc(Br)cc32)c(OC)c1,MIC,2.5,ug.mL-1
CHEMBL2418887,Cc1cccc(S(=O)(=O)n2c(COc3ccc([N+](=O)[O-])cc3)nc3cc(Br)ccc32)c1,MIC,1.25,ug.mL-1
CHEMBL2418886,COc1ccc(S(=O)(=O)n2c(COc3ccc([N+](=O)[O-])cc3)nc3cc(Br)ccc32)c(OC)c1,MIC,1.25,ug.mL-1
CHEMBL2418899,COc1ccc(OC)c(S(=O)(=O)n2c(COc3ccc([N+](=O)[O-])cc3)nc3cc(Br)ccc32)c1,MIC,1.25,ug.mL-1
CHEMBL2418314,O=C1Nc2c(cccc2[N+](=O)[O-])C(=O)/C1=N/Nc1ccc(F)c(Cl)c1,MIC,6.25,ug.mL-1
CHEMBL1808699,O=C1Nc2cc([N+](=O)[O-])ccc2C(=O)/C1=N/Nc1ccc(Br)cc1,MIC,6.25,ug.mL-1
CHEMBL614,NC(=O)c1cnccn1,MIC,50.0,ug.mL-1
CHEMBL2426718,FC(F)(F)Oc1ccc(-c2cc3c(ccc4oc5ccccc5c43)o2)cc1,MIC,50.0,ug.mL-1
CHEMBL2426711,c1ccc(-c2cc3c(ccc4oc5ccccc5c43)o2)cc1,MIC,6.25,ug.mL-1
CHEMBL1823765,CCOC(=O)[C@]1(O)C=C(OCc2cc3ccccc3s2)[C@@H](O)[C@H](O)C1,MIC,40.0,ug.mL-1
CHEMBL1823777,CCCOC(=O)[C@]1(O)C=C(OCc2ccc3sccc3c2)[C@@H](OC(=O)CCC)[C@H](O)C1,MIC,5.0,ug.mL-1
CHEMBL1823778,CCCOC(=O)[C@]1(O)C=C(OCc2ccc3ccccc3c2)[C@@H](OC(=O)CCC)[C@H](OC(=O)CCC)C1,MIC,5.0,ug.mL-1
CHEMBL2418316,O=C1Nc2c(Cl)cccc2C(=O)/C1=N/Nc1ccccc1,MIC,6.25,ug.mL-1
CHEMBL2418278,CN1C(=O)/C(=N\Nc2ccc([N+](=O)[O-])cc2)C(=O)c2ccccc21,MIC,6.25,ug.mL-1
CHEMBL2418287,COc1ccc(N/N=C2\C(=O)Nc3c(cccc3[N+](=O)[O-])C2=O)c(C)c1,MIC,6.25,ug.mL-1
CHEMBL1808714,O=C1Nc2c(cccc2[N+](=O)[O-])C(=O)/C1=N/Nc1cccc([N+](=O)[O-])c1,MIC,6.25,ug.mL-1
CHEMBL2418319,CC(=O)c1ccc(N/N=C2\C(=O)Nc3c(ccc(Cl)c3Cl)C2=O)cc1,MIC,6.25,ug.mL-1
CHEMBL3315160,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@H](O[C@@H]2[C@H]1O)O[C@H](C)C[C@H]3NC(=O)Cc1ccccn1,MIC,0.8,ug.mL-1
CHEMBL3315163,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@H](O[C@@H]2[C@H]1O)O[C@H](C)C[C@H]3NC(=O)Cc1ccc(Cl)cn1,MIC,0.8,ug.mL-1
CHEMBL3315164,CN[C@@H]1[C@H](O)[C@H](NC)[C@H]2O[C@]3(O)[C@H](O[C@@H]2[C@H]1O)O[C@H](C)C[C@H]3NC(=O)CNC(C)(C)C,MIC,0.8,ug.mL-1
CHEMBL48842,CCCCCCCCCCCCCCCCCCCC(=O)OCCCNC(=O)c1ccccc1SSc1ccccc1C(=O)NCCCOC(=O)CCCCCCCCCCCCCCCCCCC,MIC,100.0,ug.mL-1
CHEMBL1788238,CCCCC[C@@H](C)COC(=O)c1ccncc1,MIC,10.0,ug.mL-1
CHEMBL325377,CCCCOC(=O)c1ccncc1,MIC,280.0,ug.mL-1
CHEMBL3358728,CCN(CC)c1ccc2c(c1)OC1=C(C(=O)CC(C)(C)C1)C2c1c[nH]c2ccccc12,MIC,100.0,ug.mL-1
CHEMBL1830795,CC(=O)c1cc2cc(Cl)ccc2oc1=O,MIC,100.0,ug.mL-1
CHEMBL292710,OCC/N=C(\S)c1cccnc1S,MIC,4.0,ug.mL-1
CHEMBL1569462,COC(=O)c1cc2ccccc2oc1=O,MIC,100.0,ug.mL-1
CHEMBL1830803,O=C(c1ccccc1)c1cc2cc(Cl)ccc2oc1=O,MIC,100.0,ug.mL-1
CHEMBL591522,O=C(c1ccccc1)c1cc2ccccc2oc1=O,MIC,50.0,ug.mL-1
CHEMBL3358717,O=C1NC(=O)/C(=C2/CCNC(=O)c3[nH]c(Br)cc32)N1,MIC,100.0,ug.mL-1
CHEMBL3358714,C/C(=C\C=C\[C@H](O)[C@@H](C)O)[C@H](O)[C@H](C)C(=O)O[C@H]1C[C@H](CO)C[C@@H]2C=C[C@H](C)[C@](C)(C(=O)C(O)CO)[C@@H]12,MIC,100.0,ug.mL-1
CHEMBL453315,COc1cc(O)cc2c1C(=O)c1c(O)cc(C)cc1C2=O,MIC,50.0,ug.mL-1
CHEMBL55242,CCC(N)C(=O)O,MIC,100.0,ug.mL-1
CHEMBL3358770,Clc1cc2nc(CCCC3CCCCC3)[nH]c2cc1Cl,MIC,6.2,ug.mL-1
CHEMBL1927999,O=C(CCC1CCCCC1)NNC(=S)Nc1ccc(Cl)cc1,MIC,50.0,ug.mL-1
CHEMBL1928140,Cn1c(CCC2CCCCC2)n[nH]c1=S,MIC,50.0,ug.mL-1
CHEMBL1928142,CSC(=NNC(=O)CCC1CCCCC1)SC,MIC,50.0,ug.mL-1
CHEMBL566294,O=C(C(=O)N1CCCCC1)c1c[nH]c2ccccc12,MIC,128.0,ug.mL-1
CHEMBL1945141,c1cncc(-n2cc(CSc3nc4ccccc4s3)nn2)c1,MIC,16.0,ug.mL-1
CHEMBL1945140,c1ccc(-n2cc(CSc3nc4ccccc4s3)nn2)cc1,MIC,128.0,ug.mL-1
CHEMBL1945003,Brc1ccc(-n2cc(CSc3nc4ccccc4s3)nn2)cc1,MIC,16.0,ug.mL-1
CHEMBL3126799,O=C(CSc1nc2ccccc2s1)Nc1ccc(F)cc1,MIC,64.0,ug.mL-1
CHEMBL1940336,O=C(Cc1cccc(Oc2ccccc2)c1)Nc1ccc(F)c(F)c1,MIC,32.0,ug.mL-1
CHEMBL1940353,O=C(Nc1cccc(Cl)c1)c1ccc(Oc2ccccc2)cc1,MIC,32.0,ug.mL-1
CHEMBL3126290,Cc1nn(-c2ccc3c(c2)Nc2ccccc2S3)c2c1C(c1ccc([N+](=O)[O-])cc1)NC(N)=N2,MIC,1.73,ug.mL-1
CHEMBL1940155,Cc1cccc(C)c1Nc1nnc(CNc2c(C)n(C)n(-c3ccccc3)c2=O)o1,MIC,12.5,ug.mL-1
CHEMBL1940150,Cc1c(NCc2nnc(Nc3ccc([N+](=O)[O-])cc3)o2)c(=O)n(-c2ccccc2)n1C,MIC,6.25,ug.mL-1
CHEMBL1940154,Cc1ccc(Nc2nnc(CNc3c(C)n(C)n(-c4ccccc4)c3=O)o2)c(C)c1,MIC,12.5,ug.mL-1
CHEMBL1940153,CCOc1ccc(Nc2nnc(CNc3c(C)n(C)n(-c4ccccc4)c3=O)o2)cc1,MIC,12.5,ug.mL-1
CHEMBL1940147,Cc1c(NCc2nnc(Nc3ccc(Br)cc3)o2)c(=O)n(-c2ccccc2)n1C,MIC,6.25,ug.mL-1
CHEMBL3310390,Cn1cc([N+](=O)[O-])cc1C(=O)NNC(=O)NC1CCCC1,MIC,38.7,ug.mL-1
CHEMBL3310378,O=C(NCc1ccco1)NNC(=O)c1cc([N+](=O)[O-])c[nH]1,MIC,0.92,ug.mL-1
CHEMBL3310373,O=C(NNC(=O)c1cc([N+](=O)[O-])c[nH]1)Nc1ccc(Br)cc1,MIC,1.1,ug.mL-1
CHEMBL2430781,COC(=O)/C(=C/c1ccc([N+](=O)[O-])cc1)CN1C(=O)C(=O)c2cc(Br)ccc21,MIC,1.56,ug.mL-1
CHEMBL2424966,CC(=O)N1N=C(c2ccccc2Br)CC1c1cc(N)c(O)c(Cl)c1,MIC,25.0,ug.mL-1
CHEMBL2424962,COc1cc(C2CC(c3ccccc3Br)=NN2C(C)=O)cc(N)c1O,MIC,3.25,ug.mL-1
CHEMBL2424958,CC(=O)N1N=C(c2ccccc2Br)CC1c1cc(Cl)c2oc(S)nc2c1,MIC,6.25,ug.mL-1
CHEMBL1652540,CCOC(=O)c1cn(C(C)(C)C)c2c(ccc3c2nnn3C)c1=O,MIC,32.0,ug.mL-1
CHEMBL1652547,CCCCn1cc(C(=O)O)c(=O)c2ccc3c(nnn3Cc3ccccc3)c21,MIC,64.0,ug.mL-1
CHEMBL372795,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,MIC,1.0,ug.mL-1
CHEMBL1652539,CCCCn1cc(C(=O)OCC)c(=O)c2ccc3c(nnn3Cc3ccccc3)c21,MIC,32.0,ug.mL-1
CHEMBL2426307,C/C=C/C1=CC=C/C(=C2\C(=O)CNC2=O)O1,MIC,6.2,ug.mL-1
CHEMBL3358760,C[n+]1cc2c(cn3c4ccccc4ccc23)c2ccccc21.[I-],MIC,1.5,ug.mL-1
CHEMBL1669319,S=C([S-])N(c1c[nH]cn1)c1c[nH]cn1.[Na+],MIC,6.25,ug.mL-1
CHEMBL290241,CC(C)(C)C(=O)OCn1nnnc1-c1cnccn1,MIC,13.0,ug.mL-1
CHEMBL110965,CC[C@H](C)C(C(=O)OC)N1C(=O)CSC1c1ccc(N(C)C)cc1,MIC,200.0,ug.mL-1
CHEMBL1169,Nc1ccc(C(=O)O)c(O)c1,MIC,128.0,ug.mL-1
CHEMBL7563,COc1ccc(-c2ccc(N3C[C@H](CNC(C)=O)OC3=O)cc2F)ccc1=O,MIC,1.0,ug.mL-1
CHEMBL126528,CC(C)(C)C(OC(=O)c1cnc(Cl)cn1)c1ccccc1,MIC,16.0,ug.mL-1
CHEMBL384528,Cc1c(CN2CCSCC2)cc(-c2ccc(F)cc2)n1-c1ccccc1F,MIC,2.0,ug.mL-1
CHEMBL321077,Cc1c(CN2CCN(C)CC2)cc(-c2ccc(Cl)cc2)n1-c1ccc(Cl)cc1,MIC,0.7,ug.mL-1
CHEMBL3236813,CCCCc1cn(CC(=O)NC23CC4CC(CC(C4)C2)C3)nn1,MIC,50.0,ug.mL-1
CHEMBL3236814,CCCCCc1cn(CC(=O)NC23CC4CC(CC(C4)C2)C3)nn1,MIC,50.0,ug.mL-1
CHEMBL3236821,CC(C)(C)c1ccc(-c2cn(CC(=O)NC34CC5CC(CC(C5)C3)C4)nn2)cc1,MIC,50.0,ug.mL-1
CHEMBL394598,COc1ccc(C(c2ccc(OCCN(C)C)cc2)c2cc3ccccc3c3ccccc23)cc1,MIC,25.0,ug.mL-1
CHEMBL241825,COc1ccc(C(c2ccc(OCCN3CCCCC3)cc2)c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)cc1,MIC,6.25,ug.mL-1
CHEMBL387597,Oc1ccc(C(c2ccc(OCCN3CCCCC3)cc2)c2cc3ccccc3c3ccccc23)cc1,MIC,12.5,ug.mL-1
CHEMBL243974,CCN(CC)CCOc1ccc(C(c2ccc(OC)cc2)c2cccnc2)cc1,MIC,25.0,ug.mL-1
CHEMBL397220,COc1ccc(C(c2ccc(OCCN(C)C)cc2)c2cccnc2)cc1,MIC,25.0,ug.mL-1
CHEMBL396051,CCN(CC)CCOc1ccc(C(c2ccc(OC)cc2)c2cn(S(=O)(=O)c3ccccc3)c3ccccc23)cc1,MIC,12.5,ug.mL-1
CHEMBL397221,COc1ccc(C(c2ccc(OCCN3CCCCC3)cc2)c2cccnc2)cc1,MIC,12.5,ug.mL-1
CHEMBL310555,Oc1cccc2cccnc12,MIC,0.125,ug.mL-1
CHEMBL326182,C[C@H](N)C(=O)N(C)[C@@H](C)[C@H](NC(=O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(=O)NC[C@H]1C[C@@H](O)[C@H](n2ccc(=O)[nH]c2=O)O1,MIC,8.0,ug.mL-1
CHEMBL324974,C[C@H](N)C(=O)N(C)[C@@H](C)[C@H](NC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)C(=O)NC[C@H]1C[C@@H](O)[C@H](n2ccc(=O)[nH]c2=O)O1,MIC,8.0,ug.mL-1
CHEMBL375492,CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1,MIC,0.25,ug.mL-1
CHEMBL219147,C[C@]1(COc2ccccc2)Cn2cc([N+](=O)[O-])nc2O1,MIC,0.05,ug.mL-1
CHEMBL218751,COc1ccc(OC[C@@]2(C)Cn3cc([N+](=O)[O-])nc3O2)cc1,MIC,0.1,ug.mL-1
CHEMBL441552,C[C@]1(COc2ccc(Cl)cc2)Cn2cc([N+](=O)[O-])nc2O1,MIC,0.012,ug.mL-1
CHEMBL218543,C[C@]1(COc2ccc(N3CCOCC3)cc2)Cn2cc([N+](=O)[O-])nc2O1,MIC,0.39,ug.mL-1
CHEMBL299116,O=c1c2ccccc2sn1CO,MIC,12.5,ug.mL-1
CHEMBL226128,O=C(NN/C=N/C(=O)c1cnccn1)c1ccncc1,MIC,0.1,ug.mL-1
CHEMBL1829176,O=C(N/N=C/Nc1ccc(C(=O)O)c(O)c1)c1cccc(C(F)(F)F)c1,MIC,4.0,ug.mL-1
CHEMBL1829186,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(/C=N/NC(=O)c4cccc(F)c4)CC3)cc21,MIC,6.0,ug.mL-1
CHEMBL134388,CC(=O)NC[C@H]1CN(c2ccc(N3CC[S+]([O-])CC3)c(F)c2)C(=O)O1,MIC,0.125,ug.mL-1
CHEMBL323698,CC(C)C[C@H](NC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O)C(=O)N[C@H](C(=O)NC[C@H]1C[C@@H](O)[C@H](n2ccc(=O)[nH]c2=O)O1)[C@H](C)N(C)C(=O)CN,MIC,30.0,ug.mL-1
CHEMBL295910,CCOC(=O)CNC(=O)c1ccccc1SSc1ccccc1C(=O)NCC(=O)OCC,MIC,12.5,ug.mL-1
CHEMBL1823294,N#Cc1cccc(-n2cc(CO)nn2)c1,MIC,100.0,ug.mL-1
CHEMBL325177,CCCCCCCCOC(=O)c1cnc(Cl)cn1,MIC,0.03,ug.mL-1
CHEMBL53611,CC(O)CNC(=O)c1ccc(SSc2ccc(C(=O)NCC(C)O)cc2)cc1,MIC,100.0,ug.mL-1
CHEMBL108138,COc1cc(C2SC(C)C(=O)N2C(Cc2ccc([N+](=O)[O-])cc2)C(=O)O)cc(OC)c1O,MIC,25.0,ug.mL-1
CHEMBL282701,O=C(OCCBr)c1cnccn1,MIC,200.0,ug.mL-1
CHEMBL613,O=C(O)c1cnccn1,MIC,50.0,ug.mL-1
CHEMBL114626,CCCCCCCCCCOC(=O)c1cnc(F)cn1,MIC,4.0,ug.mL-1
CHEMBL114174,CCCOC(=O)c1cnc(C)cn1,MIC,2.0,ug.mL-1
CHEMBL2205118,CC(=O)OC[C@@]12CC[C@]3(C)[C@@H](C(C)C)CC[C@H]3[C@@]13C[C@H]3[C@](C)(O)CC2,MIC,12.5,ug.mL-1
CHEMBL2205117,CC(=O)O[C@H]1C[C@]2(C)[C@@H](C(C)C)CC[C@H]2[C@]23C[C@H]2[C@](C)(O)CC[C@]13C,MIC,12.5,ug.mL-1
CHEMBL382151,C=C1C(=O)O[C@@H]2/C=C(/CO)C3=CC(=O)[C@@](C)(C[C@H](OC(=O)/C(C)=C\C)[C@@H]12)O3,MIC,3.1,ug.mL-1
CHEMBL339977,O=C(OCCc1ccccc1)c1cnc(Cl)cn1,MIC,4.0,ug.mL-1
CHEMBL340836,CC(OC(=O)c1cnc(Cl)cn1)c1ccc(Br)cc1,MIC,16.0,ug.mL-1
CHEMBL1277753,Cc1c(CN2CCSCC2)cc(-c2ccccc2C(F)(F)F)n1-c1ccc(F)cc1,MIC,16.0,ug.mL-1
CHEMBL1276537,COc1ccc(C2C(C#N)=C(N)Oc3ccccc32)cc1,MIC,500.0,ug.mL-1
CHEMBL1276388,COc1ccc(C2c3c(ccc4ccccc34)OC3NC(=S)N=C(N)C32)cc1,MIC,500.0,ug.mL-1
CHEMBL1276339,COc1ccc(C2c3c(ccc4ccccc34)OC3NC(=O)N=C(N)C32)cc1,MIC,1000.0,ug.mL-1
CHEMBL1277568,CSc1ccc(-c2cc(CN3CCSCC3)c(C)n2-c2ccc(C(C)C)cc2)cc1,MIC,0.125,ug.mL-1
CHEMBL1276843,COc1ccc(-n2c(-c3ccc(C)cc3)cc(CN3CCSCC3)c2C)cc1,MIC,1.0,ug.mL-1
CHEMBL1277292,CCc1ccc(-c2cc(CN3CCSCC3)c(C)n2-c2ccc(SC)cc2)cc1,MIC,1.0,ug.mL-1
CHEMBL2236085,CCOC(=O)N1CCN(CC(=O)N2C(c3ccc(OC)cc3)C(C)C(=O)C(C)C2c2ccc(OC)cc2)CC1,MIC,16.0,ug.mL-1
CHEMBL2236086,CCOC(=O)N1CCN(CC(=O)N2C(c3ccccc3)C(C)C(=O)C(C)C2c2cccc(C)c2)CC1,MIC,16.0,ug.mL-1
CHEMBL296929,O=C(Nc1cccc(C(F)(F)F)c1)c1ccccc1SSc1ccccc1C(=O)Nc1cccc(C(F)(F)F)c1,MIC,6.25,ug.mL-1
CHEMBL51295,CCCC(=O)OCCCNC(=O)c1ccccc1SSc1ccccc1C(=O)NCCCOC(=O)CCC,MIC,6.25,ug.mL-1
CHEMBL298658,CCn1c2ccccc2c2cc(NC(=O)c3ccccc3SSc3ccccc3C(=O)Nc3ccc4c(c3)c3ccccc3n4CC)ccc21,MIC,3.13,ug.mL-1
CHEMBL9076,COCCOCCOCC[N+]1(C)CCCC1.[I-],MIC,500.0,ug.mL-1
CHEMBL394499,c1cc(CSc2ncnc3[nH]ncc23)ccn1,MIC,250.0,ug.mL-1
CHEMBL393657,OCCSc1ncnc2[nH]ncc12,MIC,250.0,ug.mL-1
CHEMBL245594,Clc1ccc(CSc2ncnc3[nH]ncc23)cc1,MIC,250.0,ug.mL-1
CHEMBL247385,C=CCSc1ncnc2c1cnn2CCO,MIC,250.0,ug.mL-1
CHEMBL245751,C=CCSc1ncnc2c1cnn2Cc1ccc(Cl)cc1,MIC,16.0,ug.mL-1
