,C,C,C,C,C,O,C,O,C,C,C,C,C@H,C@@H,C,C,C@@,C,C,C,c,c,c,<UNK>,c,N,c,C,O,O,C,C,C,C@H,C,C,N,C,C@@H
c,0.00460027,0.0047085765,0.0047999783,0.00478044,0.004541073,0.03671686,0.0044583245,0.037971828,0.0044110795,0.004311499,0.004323945,0.0043039075,0.07129972,0.019006215,0.0043419767,0.0043334733,0.11155753,0.004187407,0.004176634,0.0041420064,0.0023900445,0.0024205341,0.002415543,0.0039387643,0.0024105366,0.005742059,0.002432233,0.0042894683,0.036929604,0.035947133,0.0043998454,0.0043120286,0.004226425,0.072485246,0.004279662,0.0043399646,0.005866648,0.004358321,0.020043518
c,0.0045945006,0.0047024735,0.0047936155,0.0047740852,0.0045352485,0.0367649,0.004452498,0.038020745,0.0044054403,0.0043060216,0.0043182964,0.004298352,0.07135938,0.019160049,0.0043369685,0.0043285163,0.11149641,0.0041823247,0.0041713924,0.0041370485,0.0023928236,0.0024233449,0.0024183518,0.00392884,0.0024133974,0.0057202415,0.002435155,0.004283984,0.03697522,0.035990555,0.0043945014,0.0043068794,0.0042214403,0.07254038,0.004274849,0.00433496,0.00584446,0.004353011,0.020208472
<UNK>,0.0039386777,0.004065872,0.004168829,0.0041714124,0.0039851703,0.03672201,0.0038921263,0.037222568,0.0038733154,0.0038594003,0.003867992,0.0038275272,0.030682305,0.06263795,0.0038033943,0.0037972166,0.037164632,0.003653446,0.00372691,0.0036725418,0.0021284146,0.0021401518,0.0021398363,0.012948086,0.002136801,0.012298241,0.0021440084,0.0037075484,0.037110824,0.036115985,0.0038049496,0.0037597653,0.0037039183,0.030914385,0.00365121,0.0037383144,0.012018098,0.003793517,0.065461785
c,0.0045832857,0.0046908604,0.0047815866,0.004761701,0.0045234477,0.036739513,0.004439866,0.037997704,0.004393581,0.004294054,0.004306263,0.0042866855,0.071477495,0.019284252,0.004327009,0.0043188427,0.11140805,0.004172947,0.004162494,0.0041294494,0.0023804728,0.00241091,0.0024059685,0.003895833,0.0024010157,0.0057009985,0.0024227905,0.004274196,0.036961455,0.03597562,0.0043851896,0.0042976956,0.0042125983,0.0726597,0.004266221,0.004325801,0.005825076,0.004343986,0.02033663
N,0.0035539768,0.0035696095,0.0035973329,0.0036486245,0.0036328903,0.008978758,0.003646094,0.008998923,0.0035827826,0.0036496287,0.0036376119,0.0036175263,0.026961932,0.11595212,0.0036086722,0.0035830042,0.0148941,0.0035643068,0.0036064596,0.003629611,0.0056567546,0.0056087025,0.0056039514,0.007833531,0.005627834,0.033953983,0.0055767545,0.0035946465,0.008654929,0.008537342,0.0035732538,0.003548739,0.0035554455,0.02709122,0.0035628027,0.003551929,0.03362355,0.0035765797,0.118732624
c,0.0045925323,0.0047026654,0.00479532,0.004776473,0.0045368527,0.036755245,0.004451376,0.03800981,0.004402601,0.004304241,0.0043176776,0.0042971587,0.071204305,0.018817406,0.004332968,0.004324451,0.111573204,0.004179333,0.0041711745,0.004136453,0.002360972,0.002391223,0.0023865954,0.003970688,0.0023815902,0.0057562594,0.002402232,0.00428199,0.036981165,0.03599581,0.0043924414,0.0043037417,0.004218281,0.07238467,0.0042706067,0.0043320605,0.005879136,0.004351842,0.01983641
C,0.0016640795,0.0016785604,0.0016886747,0.0016653811,0.0016280031,0.0129208835,0.0016246446,0.013156863,0.0016593414,0.0016277508,0.0016150498,0.0016151867,0.07907209,0.048344813,0.0016659981,0.0016619026,0.063751265,0.0016050572,0.0016000168,0.0016011413,0.002304751,0.002322988,0.0023102304,0.0058564167,0.0022984904,0.03406133,0.0023162689,0.0016008624,0.013129905,0.012876495,0.0016522787,0.0016222439,0.0015861309,0.08034107,0.0015968918,0.0016007688,0.03204381,0.0016340626,0.050671108
O,0.0021079653,0.0021363783,0.0021543072,0.0021290956,0.0020838662,0.013589635,0.0020742149,0.013767099,0.0020936537,0.0020698719,0.0020611836,0.0020567016,0.06825363,0.07401336,0.0020860906,0.0020832988,0.04417185,0.002074361,0.0020975461,0.0020635736,0.0015024696,0.0015135774,0.0015167345,0.012090559,0.0015169937,0.011112598,0.0015370882,0.002000561,0.014088233,0.013876147,0.0021247142,0.0020884592,0.0020477367,0.069374025,0.0019995163,0.0020315365,0.010908851,0.0020825348,0.07536355
O,0.0021121346,0.0021404687,0.0021582632,0.002132135,0.0020860631,0.013755336,0.0020773471,0.013936878,0.0020972681,0.0020722563,0.002063398,0.0020589982,0.06849643,0.07421064,0.0020894385,0.0020870366,0.04379916,0.0020766451,0.0020994411,0.002065587,0.0015036569,0.001514847,0.0015179436,0.012164337,0.0015180291,0.011067569,0.0015382677,0.002003126,0.014261814,0.014045051,0.0021284055,0.0020918907,0.0020503316,0.069623254,0.002002305,0.002034149,0.010866356,0.0020849393,0.07556124
C,0.0017167614,0.0017329417,0.0017440137,0.001719752,0.0016813483,0.013562343,0.0016781498,0.01381271,0.001711952,0.0016795753,0.0016667444,0.0016669153,0.078620054,0.046566084,0.0017187184,0.0017136906,0.06397795,0.0016548303,0.001651629,0.0016529866,0.002306891,0.002325149,0.0023126553,0.0060840272,0.0023009384,0.03266472,0.0023191017,0.001651758,0.013781301,0.013515495,0.0017047949,0.0016738955,0.0016377369,0.07988772,0.0016475727,0.0016519314,0.030756766,0.0016877862,0.048804276
C,0.0016796781,0.0016951836,0.0017056799,0.0016813946,0.0016436956,0.013383492,0.0016397166,0.013627255,0.0016753122,0.0016430068,0.0016295577,0.0016295512,0.078770325,0.04804944,0.0016813999,0.0016771564,0.0650534,0.0016201214,0.0016158676,0.0016160314,0.0022529315,0.0022710683,0.0022588656,0.0059923176,0.0022470255,0.03417167,0.0022649404,0.0016153661,0.013610218,0.01334556,0.0016680956,0.0016374831,0.001600962,0.08005873,0.0016107811,0.0016153178,0.03211009,0.0016500633,0.050364513
C,0.0016695142,0.001684164,0.00169414,0.0016697339,0.0016321809,0.013286484,0.0016295093,0.013529327,0.0016654636,0.0016334415,0.0016194179,0.0016193229,0.07897832,0.048767257,0.0016718847,0.0016678979,0.0649091,0.0016109517,0.0016054467,0.001605393,0.0022471696,0.0022652012,0.0022526267,0.005850383,0.0022406979,0.034434102,0.0022585015,0.0016055482,0.013512221,0.013247408,0.0016575427,0.0016275665,0.001591284,0.08026731,0.0016016107,0.0016052598,0.03236109,0.0016390693,0.05111101
C@H,0.0016987824,0.001731518,0.0017470882,0.0017103117,0.0016965909,0.025203468,0.0016973577,0.0254475,0.001759644,0.0017946477,0.0017778124,0.0017702623,0.052437726,0.035265177,0.0017678502,0.00177868,0.069582365,0.0017981111,0.00179892,0.0017773857,0.0009566892,0.0009595824,0.0009586622,0.001771246,0.0009551081,0.07149829,0.0009519603,0.0017572644,0.02517664,0.024735339,0.0017499004,0.0017469326,0.0017276898,0.052994862,0.0017145539,0.0017165092,0.06846819,0.0017622754,0.036305994
C,0.0017010986,0.0017154278,0.001725436,0.00170192,0.0016642389,0.013043044,0.0016621057,0.013286603,0.0016958994,0.001663833,0.0016507914,0.0016508873,0.079130575,0.0478455,0.0017038237,0.0016990524,0.063554324,0.0016401964,0.0016348079,0.00163666,0.0023487653,0.0023667093,0.0023532133,0.005946425,0.0023411603,0.032030277,0.0023603626,0.0016359267,0.0132477945,0.0129940305,0.0016882523,0.0016586047,0.0016227862,0.08037599,0.0016332078,0.0016362866,0.030183801,0.0016701182,0.050135437
C,0.0016963033,0.0017101584,0.0017198544,0.0016966488,0.0016595402,0.012820109,0.0016571846,0.013057201,0.0016907549,0.0016587211,0.0016456326,0.0016459639,0.07918923,0.048301283,0.0016987793,0.0016937718,0.06264256,0.0016343223,0.0016294653,0.001632522,0.002408398,0.002425917,0.0024121006,0.005974201,0.002400422,0.031821217,0.002420207,0.00163113,0.01300823,0.012763685,0.0016829397,0.0016534376,0.0016183369,0.080426656,0.0016288448,0.0016313159,0.029978652,0.0016648337,0.05059309
N,0.0035150533,0.0035295973,0.0035561232,0.0036066608,0.0035930276,0.008893289,0.003606735,0.00891407,0.0035434265,0.0036098915,0.0035983429,0.0035791867,0.027117047,0.1174658,0.0035725553,0.0035464144,0.014761742,0.0035287007,0.0035702665,0.0035945387,0.005625294,0.0055764667,0.005571701,0.0076684244,0.0055962238,0.03421962,0.0055448855,0.0035587754,0.008571975,0.008456535,0.0035356574,0.0035112218,0.0035187553,0.027244335,0.003527467,0.0035154945,0.0338779,0.0035404707,0.1202505
C,0.0017194425,0.0017338544,0.0017439481,0.001720421,0.0016826506,0.013078639,0.0016808028,0.013320978,0.0017136899,0.0016812821,0.0016680474,0.001668471,0.07907948,0.047477797,0.0017215754,0.0017159481,0.062256422,0.0016554218,0.0016511069,0.0016544913,0.0024282206,0.002445709,0.0024317259,0.006041125,0.0024201989,0.031526152,0.0024402132,0.001652839,0.01326512,0.013016628,0.0017051805,0.0016751041,0.0016402754,0.0803101,0.0016508212,0.0016530602,0.02971548,0.001687578,0.049721923
C@@H,0.0033992236,0.0033675146,0.0033584817,0.0033508488,0.0033038617,0.051147234,0.0034855083,0.051998973,0.003396791,0.0034030303,0.0033710124,0.0033644352,0.018664125,0.03930564,0.0034164398,0.0034110278,0.011334254,0.0034390416,0.0033483652,0.003306824,0.0037900028,0.0038224105,0.0038185269,0.010487592,0.0038300748,0.07641409,0.003854847,0.0034488877,0.05195381,0.050844807,0.0034591593,0.003484886,0.003463779,0.018781146,0.0034507539,0.0034671999,0.07082817,0.003438871,0.04132209
