,C,C,C,C@H,O,C,C@@H,O,C,C,O,C,C,c,c,c,c,O,c,O,C,N+,C,C,C,C,c,c,c,c,c,C,N,N,c,C,<UNK>,C,C,c
N+,0.005653087,0.005651975,0.005647233,0.042628482,0.0066453014,0.0055931373,0.20921372,0.0066992715,0.005685993,0.005656171,0.0066511594,0.005646631,0.0056488453,0.0072262785,0.007205445,0.0072103515,0.007229215,0.0067067537,0.0071802456,0.0066331,0.0056625726,0.012393156,0.0056620426,0.005658826,0.0056265383,0.0055940836,0.007183117,0.0072390838,0.0072746743,0.0072836657,0.0072665294,0.0056389165,0.082718,0.08209216,0.007239826,0.005651343,0.02132961,0.00556139,0.005623092,0.007257752
C,0.0015188045,0.0015295326,0.0015342358,0.0979812,0.0037625236,0.0015133589,0.23134229,0.0036804723,0.0015025416,0.0015186305,0.003771637,0.001568987,0.0015676239,0.0008441555,0.0008489744,0.00085725554,0.0008638734,0.0037905371,0.0008487686,0.0038437045,0.0016502042,0.019235607,0.001612118,0.0015844419,0.0015588132,0.0015789998,0.0008975926,0.000904973,0.00089636224,0.00088214915,0.000868447,0.0015578467,0.07850099,0.07811963,0.00085187407,0.0015813373,0.01831251,0.0015539903,0.0014878288,0.00085525867
C,0.0015270008,0.0015378735,0.0015426343,0.09828301,0.0037357218,0.0015215589,0.23162287,0.0036547848,0.0015104784,0.0015267581,0.0037454606,0.0015774263,0.0015761183,0.0008410915,0.00084607536,0.00085450395,0.0008612237,0.003764038,0.0008459642,0.0038168523,0.0016593805,0.019197322,0.0016208924,0.0015929319,0.001567022,0.0015872547,0.0008948031,0.00090228155,0.00089361204,0.0008793132,0.0008655508,0.001565764,0.07848265,0.078107946,0.000849109,0.0015896999,0.01859928,0.0015616836,0.0014952192,0.00085233833
C,0.001491966,0.0015030267,0.0015080046,0.100190416,0.0036493288,0.0014879039,0.23257323,0.003570834,0.0014751126,0.0014913019,0.00366101,0.0015427793,0.0015411843,0.0008501765,0.0008556301,0.0008645648,0.00087162276,0.003678204,0.00085531455,0.003730434,0.0016213144,0.019460442,0.001584314,0.0015571053,0.001532576,0.0015522887,0.0009056004,0.0009134755,0.00090431573,0.0008892782,0.00087488804,0.0015296384,0.078483246,0.078122094,0.0008586604,0.0015516921,0.018972293,0.0015253964,0.0014604292,0.0008614171
C,0.0015056451,0.0015169631,0.0015221831,0.10048518,0.0036819307,0.0015017395,0.23340993,0.0036049783,0.0014886636,0.001504867,0.0036944926,0.001556778,0.0015549236,0.0008659147,0.00087150093,0.0008807572,0.000888076,0.0037108758,0.00087095855,0.003761755,0.0016344426,0.019573916,0.0015974407,0.0015702198,0.0015463528,0.0015664655,0.00092240743,0.00093064253,0.0009213535,0.00090602017,0.0008913232,0.0015432417,0.078129314,0.07776635,0.00087451143,0.0015651914,0.018962294,0.001538905,0.0014739445,0.00087780715
c,0.007449886,0.007516504,0.007592103,0.13862486,0.003415803,0.007425526,0.15323941,0.0034643642,0.0076102144,0.0075820773,0.0034641132,0.0075080576,0.007559042,0.0018127192,0.0018052338,0.0018044722,0.0018071079,0.0034215283,0.001818768,0.0034484058,0.007375401,0.029039538,0.007360968,0.007330655,0.007341855,0.0074176053,0.0018377149,0.0018452741,0.0018490591,0.00184827,0.0018431457,0.0073556113,0.028094312,0.028310172,0.0018395592,0.0074251806,0.07298029,0.0071768216,0.0072645573,0.0018215451
c,0.007416355,0.007483197,0.0075588385,0.13809238,0.00343677,0.007391955,0.15128903,0.0034844144,0.007575009,0.0075474973,0.0034847262,0.0074742665,0.007525212,0.0018087605,0.0018015379,0.0018008808,0.0018035029,0.0034429305,0.0018146158,0.0034701307,0.0073433165,0.028908206,0.0073295175,0.0072985953,0.007309348,0.007385225,0.001834641,0.0018419629,0.0018455599,0.0018446344,0.0018394582,0.0073226965,0.028326197,0.028544603,0.0018357971,0.007390483,0.073282816,0.0071445904,0.007230214,0.0018176524
c,0.0073448285,0.0074116145,0.007486869,0.13778266,0.0034616347,0.007321392,0.15076305,0.0035090956,0.0075024227,0.0074754977,0.0035103168,0.0074039767,0.0074545084,0.0017957996,0.0017887581,0.0017881476,0.0017907185,0.003468474,0.0018016049,0.0034963312,0.0072742985,0.02871016,0.007260354,0.0072291074,0.007240332,0.007316355,0.0018221503,0.0018291852,0.0018326653,0.0018317264,0.0018266246,0.0072531244,0.029032279,0.029261446,0.0018228332,0.0073196813,0.07354307,0.007076261,0.007159396,0.0018045962
c,0.0072643263,0.007330841,0.0074054925,0.13768895,0.0034757082,0.007241793,0.15121959,0.003523212,0.0074215382,0.0073950114,0.0035253165,0.007325164,0.007375237,0.0017758522,0.001768906,0.0017682889,0.0017707896,0.0034833073,0.0017816923,0.0035117806,0.0071970043,0.028583352,0.0071824216,0.007151039,0.007162719,0.0072385557,0.0018023638,0.0018090812,0.0018124868,0.0018116053,0.0018066475,0.007175356,0.029845964,0.030087583,0.0018028023,0.007241189,0.07374684,0.00699964,0.007080502,0.0017844691
c,0.0072017414,0.007267715,0.007341649,0.13785353,0.0034714,0.0071795173,0.15230472,0.0035190727,0.007359424,0.0073329145,0.0035215777,0.0072638756,0.0073136617,0.0017559474,0.001748993,0.0017483195,0.0017507531,0.0034795925,0.0017618706,0.0035083538,0.007137447,0.028610477,0.007122024,0.0070907683,0.0071024876,0.007177647,0.0017822696,0.0017887728,0.001792166,0.0017913771,0.0017865641,0.0071155247,0.030470224,0.030720906,0.0017827615,0.0071812365,0.073842496,0.006940597,0.0070200963,0.0017643742
C,0.0014250204,0.0014356658,0.001440443,0.1011821,0.0036451607,0.0014209629,0.23207587,0.0035651682,0.001408729,0.0014241778,0.003653474,0.0014734656,0.00147175,0.00084619573,0.00085137045,0.0008600182,0.0008668538,0.0036735306,0.00085056794,0.0037243622,0.0015487156,0.019744812,0.0015138852,0.0014880153,0.0014649801,0.0014841956,0.0009008439,0.00090845797,0.0008994497,0.0008847087,0.0008706102,0.001462581,0.07903867,0.07866444,0.00085401174,0.0014824515,0.018159805,0.0014589474,0.0013963006,0.0008570275
N,0.0009853183,0.0009894191,0.0009883856,0.0553339,0.0040989686,0.0009841266,0.27554017,0.004105635,0.0009799477,0.000982806,0.003985775,0.0009801196,0.0009779149,0.006852033,0.006840862,0.006778596,0.006722287,0.004104225,0.006791245,0.004101371,0.0009986714,0.040744543,0.0009989722,0.0010001552,0.0010271359,0.0010275288,0.006777192,0.006752338,0.006738827,0.0067340457,0.006726001,0.0010094186,0.065744735,0.06600618,0.0065828203,0.0009915294,0.010043052,0.0009962188,0.0009646543,0.0065801856
N,0.0009816281,0.0009857664,0.0009847159,0.055537947,0.004063689,0.0009803114,0.27691245,0.0040704072,0.0009762395,0.0009791546,0.003951262,0.00097653636,0.00097439176,0.006824236,0.0068123043,0.0067500607,0.006694086,0.0040688114,0.0067644417,0.0040657786,0.0009948135,0.04059893,0.000995192,0.000996301,0.0010229879,0.0010233364,0.0067487303,0.006724093,0.0067111542,0.0067069423,0.0066991914,0.0010052894,0.065186284,0.065444805,0.00655641,0.0009878644,0.010087455,0.0009925333,0.0009605511,0.006553232
c,0.0072811763,0.007347003,0.0074205743,0.13777049,0.0034342525,0.0072566564,0.15422179,0.0034816766,0.0074392133,0.00741233,0.0034826642,0.0073385355,0.007388826,0.001771027,0.0017637924,0.0017630829,0.0017656932,0.0034428756,0.0017776685,0.0034707605,0.007214769,0.028076647,0.007198538,0.0071681943,0.007180734,0.0072560543,0.0017967416,0.0018036562,0.0018073128,0.0018066517,0.0018017545,0.007193553,0.029421043,0.029651662,0.0017980261,0.007261317,0.074513376,0.0070177293,0.0070980415,0.0017798165
C,0.0014547899,0.0014655723,0.0014703537,0.10022467,0.0037275434,0.0014506775,0.23097146,0.0036471935,0.0014387518,0.0014542809,0.0037389484,0.0015038897,0.001501933,0.0008529735,0.00085849396,0.0008675348,0.00087466405,0.0037576423,0.000857932,0.0038088681,0.0015800117,0.019585578,0.0015451256,0.0015189298,0.0014950552,0.0015145647,0.0009086477,0.000916513,0.00090746925,0.00089260057,0.00087836763,0.0014927452,0.07828205,0.0779235,0.00086165307,0.0015135307,0.01852849,0.0014896678,0.0014256898,0.0008646755
<UNK>,0.0025555922,0.0025813938,0.0025941893,0.063843966,0.004363783,0.0025430047,0.2751523,0.004313024,0.002514525,0.0025356421,0.0044489447,0.0026689416,0.002658116,0.0015178164,0.0015178464,0.0015173503,0.001517129,0.0044423756,0.0015390181,0.0045240475,0.002722025,0.0261316,0.0026827313,0.0026430902,0.0026247026,0.0026586363,0.0015702366,0.0015677282,0.0015543656,0.0015378025,0.0015239727,0.002622852,0.07358856,0.07360981,0.0015187468,0.0026382152,0.0227345,0.002592248,0.002509852,0.0015191096
C,0.0014694168,0.0014802613,0.0014851427,0.09917588,0.0036916265,0.0014652702,0.23487744,0.0036142934,0.0014531252,0.0014686838,0.0037045924,0.0015194765,0.0015173991,0.0008505854,0.0008560288,0.00086511124,0.0008722907,0.00372099,0.00085548806,0.0037725978,0.0015956458,0.019462325,0.0015601217,0.0015334318,0.0015098433,0.0015296228,0.00090645347,0.00091450295,0.00090545096,0.0008905193,0.0008762188,0.0015085619,0.078304216,0.077922374,0.0008591974,0.0015288438,0.0186734,0.0015046868,0.001440032,0.0008626272
C,0.0014676132,0.0014782078,0.0014829276,0.100861445,0.0036318735,0.001463475,0.23306996,0.0035558168,0.0014516615,0.0014672478,0.003641159,0.0015165756,0.001514989,0.00085408834,0.0008594376,0.00086832617,0.0008753391,0.0036604006,0.0008587208,0.0037094124,0.0015937263,0.019564297,0.0015579609,0.0015317025,0.0015081774,0.0015272417,0.000909477,0.00091733213,0.0009082835,0.0008933846,0.000879104,0.0015054229,0.07813449,0.077757895,0.0008624291,0.0015264726,0.018286258,0.0015017745,0.0014376831,0.0008655006
c,0.007254382,0.0073195994,0.007392552,0.13891907,0.003417599,0.0072297105,0.15335518,0.003463858,0.0074102134,0.0073825605,0.00346435,0.0073090135,0.007359248,0.0017953189,0.0017879112,0.0017871947,0.0017898296,0.0034238328,0.0018011478,0.003450877,0.0071824105,0.029172104,0.0071693645,0.007139466,0.007148792,0.0072213393,0.0018211745,0.0018286874,0.0018323906,0.0018315013,0.0018262753,0.0071641738,0.029293552,0.029521484,0.0018220559,0.0072310055,0.07300363,0.0069900015,0.00706963,0.0018037813
