,S,C,C,C,c,n,c,N,C@,C@,c,c,c,F,c,F,c,c,C,c,n,n,n,C@,C@,O,C@,O,C@@,O,C,C,O,C,c,n
C@,0.01770721,0.0073509077,0.0073515805,0.007352017,0.0064187343,0.0320622,0.0062619336,0.037004605,0.056544546,0.056918573,0.0061725266,0.006191173,0.006251367,0.02592341,0.006253087,0.02581499,0.006306025,0.0063024005,0.0075167585,0.006274104,0.03248309,0.03249326,0.03240291,0.05753094,0.057840683,0.012456459,0.058405764,0.012301324,0.024818415,0.0123597905,0.007437904,0.007411683,0.012406357,0.0073947296,0.006358112,0.032527797
C@,0.017567873,0.0073959013,0.0073966,0.0073976507,0.006419866,0.031940825,0.0062655825,0.0358744,0.056586206,0.056959007,0.00617793,0.006195032,0.006254277,0.02598654,0.006258335,0.025877211,0.006310314,0.006307248,0.007563719,0.0062791193,0.03234261,0.032353446,0.032263614,0.05757175,0.05787149,0.012535669,0.058438454,0.012380162,0.02484629,0.012436163,0.007482136,0.0074563804,0.012484239,0.007441101,0.0063633574,0.032394104
O,0.05661999,0.0014785293,0.0014988454,0.0015260313,0.004868789,0.047965698,0.0046447273,0.0023468004,0.06555061,0.06553497,0.004485932,0.0047047567,0.0048629483,0.06155189,0.0047333757,0.060905606,0.004542449,0.0046038395,0.0014434893,0.0047165016,0.049557097,0.048990622,0.04828416,0.064080454,0.064221546,0.022714604,0.06542084,0.02205022,0.03263419,0.022279281,0.001406239,0.0014202705,0.022946956,0.0014042056,0.0045694835,0.04975644
C@,0.017501716,0.007366624,0.0073672696,0.0073671476,0.006414016,0.032079734,0.0062589613,0.037073605,0.056482077,0.056844566,0.006169375,0.006188037,0.006247352,0.025330912,0.0062471144,0.025221488,0.006299518,0.006296117,0.007529762,0.0062709413,0.032484386,0.032494217,0.032404255,0.057465483,0.057768032,0.012463195,0.058338083,0.012307931,0.0251109,0.012365811,0.0074542053,0.00742729,0.012405606,0.0074085905,0.0063520772,0.03253542
O,0.057543263,0.0014626947,0.0014827768,0.0015095157,0.004837298,0.04794532,0.0046144286,0.0024053233,0.06585309,0.06582082,0.004455216,0.0046729664,0.0048306333,0.061379746,0.0047024004,0.060721345,0.0045119803,0.0045729596,0.0014282437,0.004684664,0.049523853,0.048954178,0.048247278,0.06439821,0.06454557,0.022488372,0.06574602,0.021828866,0.03265695,0.02206171,0.0013915728,0.001405287,0.022725355,0.0013882967,0.004537947,0.049725413
C@@,0.008535174,0.0073099984,0.007310469,0.007270024,0.0037247068,0.028188478,0.0038064383,0.067029595,0.05453478,0.053949993,0.0037431435,0.0037764169,0.003778249,0.025331015,0.003720798,0.025051814,0.003766751,0.0037612803,0.007270408,0.0037913204,0.027829252,0.027775686,0.027734974,0.05253429,0.05232957,0.013346549,0.053604376,0.013352663,0.021329047,0.013170326,0.0073823044,0.0073162336,0.013217162,0.007227242,0.0038049594,0.028346114
O,0.058177054,0.001532732,0.0015535207,0.0015812065,0.004891421,0.047633845,0.004668569,0.0023811809,0.065551594,0.06551915,0.004507312,0.0047256295,0.00488436,0.060757637,0.004759499,0.060118727,0.0045655565,0.0046272716,0.001496295,0.004737433,0.04920585,0.048635308,0.047931124,0.06411894,0.064269595,0.022729993,0.065464534,0.022061009,0.033272475,0.022295222,0.001457799,0.0014718317,0.022967754,0.0014544777,0.0045924187,0.04941978
C,0.0055960454,0.00030439798,0.00030871964,0.00031422323,0.0016076401,0.06879699,0.001526248,0.0047365613,0.09084821,0.09204633,0.0015084923,0.0015580123,0.0015945613,0.024658378,0.0015350261,0.024558786,0.0015291823,0.0015515231,0.00030249698,0.001575242,0.072675705,0.07145609,0.07025208,0.08604627,0.08721674,0.021096142,0.087446205,0.021521168,0.016680375,0.021367723,0.00029492954,0.00029608794,0.021400377,0.00029285144,0.0015016847,0.074578755
C,0.00547279,0.00030194962,0.0003061999,0.0003115978,0.0015857411,0.06879891,0.0015058942,0.004776499,0.09095062,0.0921531,0.0014880276,0.0015367776,0.001572761,0.02473741,0.0015139563,0.024639212,0.0015086668,0.0015306287,0.0002999494,0.0015539484,0.07268514,0.07147169,0.0702728,0.08614199,0.08730577,0.021046339,0.08753301,0.021477716,0.016679535,0.021321831,0.00029255383,0.0002936971,0.021356996,0.00029051557,0.0014814547,0.07458466
O,0.05845133,0.001456337,0.0014763004,0.0015029386,0.004830065,0.04801197,0.0046084384,0.0023747643,0.065516695,0.065492816,0.004447967,0.0046639666,0.0048211887,0.06102489,0.0046957773,0.06037662,0.0045065833,0.004567351,0.0014200944,0.0046771606,0.049599506,0.049032584,0.048330914,0.0641046,0.06426026,0.022807665,0.06543492,0.022136282,0.032230873,0.022369197,0.0013835535,0.0013973908,0.023038419,0.001381102,0.004532762,0.049816977
C,0.005398933,0.0003071324,0.0003114003,0.00031681606,0.001586878,0.06878599,0.0015078286,0.0049504843,0.09102219,0.092213295,0.0014901024,0.0015379048,0.0015733365,0.024786394,0.0015154313,0.024692873,0.001510991,0.0015328502,0.00030509842,0.0015557137,0.07270593,0.071500555,0.0703112,0.08615826,0.08731523,0.020910252,0.087534346,0.02134071,0.016592968,0.021189969,0.00029765366,0.00029881566,0.021225046,0.00029562064,0.0014836293,0.07457226
c,0.02601526,0.00046683731,0.000473747,0.00048285516,0.001531675,0.05781653,0.0014502741,0.0033292463,0.077612564,0.07820151,0.0014089651,0.0014765231,0.0015319227,0.06194721,0.0014900732,0.061387092,0.0014440039,0.0014566499,0.00045900288,0.0014793323,0.059441525,0.058539033,0.05781698,0.07682119,0.07835776,0.023599675,0.07822492,0.023449712,0.019991774,0.0235017,0.00044084468,0.00044446648,0.023626043,0.0004447855,0.0014357842,0.061720263
n,0.005765987,0.012294927,0.01219596,0.012161816,0.0136580635,0.016742852,0.013710201,0.013022786,0.02983251,0.029713435,0.013650134,0.013601118,0.0136084845,0.021970848,0.013499569,0.021926776,0.013523417,0.013508024,0.012529869,0.0133780865,0.01654229,0.016486965,0.016354382,0.029502075,0.029555567,0.01275018,0.030784247,0.013051566,0.04625326,0.012879793,0.012574496,0.012541908,0.013006915,0.012634793,0.013475744,0.017042624
