compound_id,smiles,all_preds,all_probs
37158.mol217-Epinaucleidinal,C[C@@H]1OC=C2C(=O)N3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]2[C@@H]1C=O,1,0.9686478
46977.mol2Tetrahydrodeoxylucidine_B,CCN1CCC[C@H]2[C@@H](C[C@@H]3CC[C@@H]4[C@@H]5C[C@@H]6[C@@H](C[C@@H](C)C[C@@H]6N(C)C5)C[C@@H]4N3)C[C@H](C)C[C@H]21,1,0.96841496
41134.mol2Laccaic_acid_A,CC(=O)NCCc1ccc(O)c(-c2c(O)c(O)c3c(c2O)C(=O)c2c(cc(O)c(C(=O)O)c2C(=O)O)C3=O)c1,1,0.9683921
45261.mol2Rauvanine,COC(=O)C1=CO[C@H](C)[C@H]2CN3CCc4c([nH]c5cc(OC)c(OC)cc45)[C@@H]3C[C@H]12,1,0.96765465
31888.mol236528,COc1cc2c(cc1OC)[C@@]13CCN4C/C(=C/CO)[C@H](C[C@H]41)[C@H]1CCC(=O)N2[C@H]13,1,0.9673016
21029.mol222815,CCCCc1ccc(CCc2ccc(O)c(OCC3(C4=C[C@@H]([C@H](C)CNC[C@H](C)O)C=[NH+]4)CCCCC3)c2)o1,1,0.967261
40643.mol2Isostrychnopentamine,C=C[C@H]1CN2CCc3c([nH]c4c([C@@H]5CCCN5C)c(O)ccc34)[C@@H]2C[C@@H]1C[C@H]1c2[nH]c3ccccc3c2CCN1C,1,0.9667226
46548.mol2Strychnopentamine,C=C[C@H]1CN2CCc3c([nH]c4c([C@H]5CCCN5C)c(O)ccc34)[C@@H]2C[C@@H]1C[C@H]1c2[nH]c3ccccc3c2CCN1C,1,0.9665122
42249.mol2(-)-(trans-3'-Methoxy-4'-  -L-rhamnosyloxy_cinnamoyl)epilupinine,COc1cc(/C=C/C(=O)OC[C@@H]2CCCN3CCCC[C@H]23)ccc1O[C@@H]1O[C@H](C)[C@H](O)[C@@H](O)[C@H]1O,1,0.96643686
42970.mol2Naucleidinal,C[C@H]1OC=C2C(=O)N3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]2[C@@H]1C=O,1,0.96589357
45562.mol2Roxburghine,COC(=O)C1=CN2CCc3c([nH]c4ccccc34)[C@]2(C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@H]3C[C@@H]12,1,0.96587646
45059.mol2Quaternine,C/C=C1/CN2[C@H]3C[C@@H]1[C@H](C(=O)O)[C@@]14C[C@H]2O[C@@]31N(C)c1cc(OC)c(OC)cc14,1,0.96564484
1564.mol2 1591,NC(=O)c1oc2cc(O[C@@H]3O[C@@]4(C(=O)[O-])C=CC(=O)[C@@](O)([C@H]3O)[C@@H]4O)ccc2c(=O)c1-c1ccc(O)cc1,1,0.96457845
43019.mol2Neocycasin_E,C/[N+]([O-])=N/CO[C@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,1,0.9641608
33963.mol2  etalamic_acid,O=C/C=C1/C=C(C(=O)O)N[C@H](C(=O)O)C1,1,0.9635447
38988.mol2Hordenine-O-  -L-rhamnopyranoside,C[C@@H]1O[C@@H](Oc2ccc(CCN(C)C)cc2)[C@H](O)[C@H](O)[C@H]1O,1,0.96347314
15253.mol216908,CCC/C=C1\OC(=O)C2=C1CC[C@H]1[C@@H]3CC[C@@]4(C(=C3Cc3cc[nH+]c(N)c3)C(=O)O/C4=C\CCC)[C@@H]21,1,0.9623167
33144.mol2Amsonic_acid,C[C@@]1(O)OC[C@H](C(=O)O)[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]21,1,0.9614455
46976.mol2Tetrahydrodeoxylucidine_A,CCN1CCC[C@@H]2[C@@H](C[C@H]3CC[C@@H]4[C@@H]5C[C@@H]6[C@@H](C[C@@H](C)C[C@@H]6N(C)C5)C[C@@H]4N3)C[C@H](C)C[C@@H]21,1,0.9603427
29574.mol233083,C#CCCCCCCCCCCCCCC,1,0.95978177
28188.mol230959,C=CCc1ccc(O)c(-c2cc(/C=C/C(=O)O)ccc2O)c1,1,0.959311
46005.mol2(+)-Sebiferine,COC1=C[C@@]23CCN(C)[C@@H](Cc4cc(OC)c(OC)cc42)C3=CC1=O,1,0.95857966
40636.mol2Isosetoclavine,CN1C[C@](C)(O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,1,0.9583508
35839.mol2N-Desmethoxyrankinidine,C/C=C1/CN[C@H]2C[C@@]3(C(=O)Nc4ccccc43)[C@H]3C[C@H]1[C@@H]2CO3,1,0.95832187
39758.mol2Hydroxymyoscorpine,C/C=C(/C)C(=O)O[C@@H]1CCN2CC=C(COC(=O)[C@@](O)([C@@H](C)O)C(C)(C)O)[C@H]12,1,0.9582969
26808.mol229076,C/C=C1\CN2CCC3=c4ccccc4=[NH+][C@H]3[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC,1,0.95777094
30713.mol234685,COC1=C[C@@]23CCN(C)[C@@H](Cc4cc(O)c(OC)cc42)C3=CC1=O,1,0.9576585
45563.mol2Roxburghine_X,COC(=O)C1=CN2CCc3c([nH]c4ccccc34)[C@@]2(C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@H]3C[C@H]12,1,0.9573621
35353.mol2Cyclocapitelline,CC(C)(O)[C@H]1CC[C@](C)(Cc2nccc3c2[nH]c2ccccc23)O1,1,0.95694786
1.mol2    1,CN[C@@H]1C(O)=CCOc2cc3c(c(O)c21)C(=O)c1c(cc(OC)c(O)c1C(O)O)C3=O,1,0.956398
3281.mol2 3361,CNC[C@]1(C(=O)[O-])O[C@@H](Oc2cc3oc(-c4ccc(O)cc4)cc(=O)c3c(O)c2O)[C@H](O)C(O)(O)[C@@H]1O,1,0.95638806
38198.mol2Glabratine,C=C[C@@H](CO)[C@@H]1C[C@H]2c3[nH]c4cccc(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)c4c3CCN2C=C1C(=O)OC,1,0.9558515
34190.mol2Brasillixanthone_A,CC1(C)C=Cc2c(cc(O)c3c(=O)c4c5c(c(O)cc4oc23)OC(C)(C)C=C5)O1,1,0.95524555
