compound_id,smiles,all_preds,all_probs
Z2235801846,O=C(OCC)[C@@](N[C@@]1C(=O)N(CC(=O)O)c2c(cccc2)CC1)CCc1ccccc1.Cl,1,0.9686839
Z2568664267,O=C(N[C@@]1C(=O)N2C(C(=O)O)=C(C=C)CS[C@]12)/C(=N/OCC(=O)O)/c1nc(N)sc1,1,0.96829134
Z756440078,Fc1nc(N)c2ncn([C@]3[C@@](O)[C@](O)[C@@](CO)O3)c2n1,1,0.9682076
Z1541759501,Fc1ccc([C@@](O)CC[C@]2C(=O)N(c3ccc(F)cc3)[C@@]2c2ccc(O)cc2)cc1,1,0.96517265
Z2583154272,S(CC1=C(C(=O)O)N2C(=O)[C@@](NC(=O)/C(=N/OC)/c3nc(N)sc3)[C@]2SC1)c1n(C)nnn1,1,0.9644864
Z1089994842,N(=C(/NCc1ccccc1)\NC)\C.I,1,0.9644515
Z1379303659,O=C(O)[C@@](N(C(=O)CCCC)Cc1ccc(-c2c(-c3[nH]nnn3)cccc2)cc1)C(C)C,1,0.9633063
Z3313642143,O=C(OCC)[C@](C[C@@](NC(=O)CCC(=O)[O-])Cc1ccc(-c2ccccc2)cc1)C.O=C(OCC)[C@](C[C@@](NC(=O)CCC(=O)[O-])Cc1ccc(-c2ccccc2)cc1)C.[Ca+2],1,0.9628755
Z1590789254,Clc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,1,0.9622868
Z1544404029,O=C(N[C@@]1C(=O)N2C(C(=O)[O-])=C(COC(=O)C)CS[C@]12)/C(=N/OC)/c1nc(N)sc1.[Na+],1,0.95986736
Z57902203,Clc1c(NC(=O)c2c(O)ccc(Cl)c2)ccc([N+](=O)[O-])c1,1,0.9592508
Z2417556873,[N+](CCCCCCCCCCCCCCCC)(C)(C)C.[Br-],1,0.95859444
Z2235802006,S(=O)(=O)(O)C.O(C(c1ccccc1)c1ccccc1)C1C[C@@]2N(C)[C@](C1)CC2,1,0.95761067
Z1544404944,Clc1c([C@]2(Cn3ncnc3)O[C@@](COc3ccc(N4CCN(c5ccc(N6C(=O)N(C(CC)C)N=C6)cc5)CC4)cc3)CO2)ccc(Cl)c1,1,0.95596236
Z56755651,FC(F)(F)c1c([N+](=O)[O-])ccc(NC(=O)C(C)C)c1,1,0.9558019
Z49562666,Clc1c(/C=N/NC(=N)N)c(Cl)ccc1.Cl,1,0.954922
