tr_loss,tr_auc,tr_acc,tr_mcc,tr_f1,tr_pre,tr_se,tr_sp,tr_Youden_Index,tr_Best_Threshold
0.5310031771659851,0.8062792735981141,0.7215447154471545,0.4418162824033065,0.6950715421303657,0.7311036789297659,0.6624242424242425,0.7759197324414716,0.44890172629303066,0.4433974027633667
0.520512332211338,0.8153043065361906,0.7345141308555942,0.46795242968226763,0.709704730659329,0.7452767281618138,0.6773737373737374,0.7870680044593088,0.4722374244113374,0.48257961869239807
0.5291710702627436,0.8071410688077355,0.7255129694154084,0.44957543829078883,0.7024134312696747,0.7307860262008734,0.6761616161616162,0.7709030100334449,0.45216648086213307,0.4902799725532532
0.5188113628157152,0.8164604799387408,0.7355787843592722,0.46989989826666756,0.7127838519764508,0.7430951337132836,0.6848484848484848,0.7822370865849126,0.4709415222458701,0.4950719475746155
0.5134299534946772,0.8197980548705186,0.736449864498645,0.4714693164462096,0.7171496831827153,0.7380799657900363,0.6973737373737374,0.7723894463024897,0.47458329110503017,0.4876077175140381
0.511300733030396,0.8213525068597533,0.740418118466899,0.4797828282945245,0.7168496621621622,0.7507739938080495,0.6858585858585858,0.7905982905982906,0.4796601466166684,0.467065691947937
0.5080620855000735,0.8254424963120616,0.7405149051490515,0.47993286571401217,0.7173431734317344,0.7501653803748621,0.6872727272727273,0.7894834633965069,0.4805641701293875,0.517115592956543
0.5076971722092053,0.8244187320998915,0.7412891986062717,0.481501328652696,0.7181271749446377,0.7511581733951026,0.6878787878787879,0.79041248606466,0.48211276646059253,0.48072880506515503
0.5022529072990358,0.830171202924826,0.7497096399535423,0.4982974439245051,0.7289308176100628,0.757516339869281,0.7024242424242424,0.7931995540691192,0.4971703658660181,0.48883214592933655
0.50613337662936,0.8266464158493144,0.7451606658923732,0.4892610609420195,0.7227545540697062,0.754783373652958,0.6933333333333334,0.792827945001858,0.4871538123712037,0.5044971108436584
0.4967397286242376,0.834365149075294,0.7487417731320171,0.4962553400871761,0.72901878914405,0.7542116630669546,0.7054545454545454,0.7885544407283538,0.4998074389378737,0.4589169919490814
0.49817267111026836,0.8321058034826152,0.7450638792102207,0.4890898232029007,0.7224446786090621,0.7550660792951542,0.6925252525252525,0.79338535860275,0.4900679031113814,0.46364378929138184
0.4925894574853289,0.8364221178713933,0.7513550135501355,0.5016686511822832,0.7301754017435144,0.76044629183986,0.7022222222222222,0.7965440356744704,0.5049424005945745,0.46581897139549255
