tcm_id,smiles
35219.mol2Crocusatin_I,CC1=C(CO)C(C)(C)C=C(O)C1=O
25840.mol227898,COc1cc(C)cc(OC)c1OC
"47618.mol21,2,3-Trimethoxy-5-methyl_benzene",COc1cc(C)cc(OC)c1OC
38603.mol2GSIR-1,C=C1C(=O)O[C@H]2C[C@H](C)[C@@H](CO)[C@@H]12
"42228.mol21-(4'-Methoxyphenyl)-(1R,2R)-propanediol",COc1ccc([C@H](O)[C@@H](C)O)cc1
"42230.mol21-(4'-Methoxyphenyl)-(1S,2R)-propanediol",COc1ccc([C@H](O)[C@H](C)O)cc1
"42231.mol21-(4'-Methoxyphenyl)-(1S,2S)-propanediol",COc1ccc([C@@H](O)[C@H](C)O)cc1
"42229.mol21-(4'-Methoxyphenyl)-(1R,2S)-propanediol",COc1ccc([C@@H](O)[C@@H](C)O)cc1
39332.mol23-Hydroxy-4(8)-ene-p-menthane-3(9)-lactone,CC1=C2CC[C@H](C)C[C@]2(O)OC1=O
44662.mol2Ponticaepoxide,C=C[C@H]1O[C@@H]1/C=C/C#CC#CC#CC
26998.mol229331,C(=C\c1ccnnc1)\c1ccccc1
9693.mol2 10825,C=C1[C@H]2[C@@H](CO)C[C@H]([C@@H]2O)C1(C)C
9682.mol2 10814,C=C1[C@H]2CC[C@@H](C1(C)C)[C@]2(O)OC
30873.mol234931,COC(=O)/C=C(/C)CCC=C(C)C
28475.mol231410,C=C[C@@](C)(CCC=C(C)C)OC=O
41463.mol2Linalylformate,C=C[C@](C)(CCCC(=C)C)OC=O
29477.mol232913,C/C=C(\C)C(=O)OCC/C=C\CC
31959.mol236626,CCCCC/C=C(/C=O)CCCC
28762.mol231914,C[C@H]1CCCC[C@@H]2[C@H]1CC[C@]2(C)O
27475.mol230016,COC(=O)c1c(O)cc(O)cc1O
41265.mol2Leiocarpic_acid,COc1c(O)ccc(O)c1C(=O)O
26522.mol228727,COc1c(O)cc(C(=O)O)cc1O
"36404.mol23,5-Dihydroxy-4-methoxybenzoic_acid",COc1c(O)cc(C(=O)O)cc1O
26535.mol228740,COC(=O)c1cc(O)c(O)c(O)c1
32566.mol25-(Acetoxymethyl)-furan-2-carboxylic_acid,CC(=O)OCc1ccc(C(=O)O)o1
27955.mol230679,COc1cc(O)cc(OC)c1OC
34759.mol2Chaetoquadrin_F,Cc1c(O)cc(C[C@H](C)O)oc1=O
35578.mol2Decumbic_acid,CCC[C@H]1OC(=O)C(C)=C1C(=O)O
"34596.mol2(3S,4R)-3-Carboxy-2-methylene-heptan-4-olide",C=C1C(=O)O[C@H](CCC)[C@H]1C(=O)O
44497.mol2Piscrocin_A,OCC[C@H]1c2cocc2[C@H](O)[C@@H]1O
34273.mol2Buergerinin_G,C[C@@]12C[C@H]3OC(=O)C[C@]3(CCO1)O2
35212.mol2Crocusatin_B,C[C@@H]1C(C(=O)O)=C[C@H](O)CC1(C)C
