smiles,fda_id
S(=O)(=O)(NC(=O)C)c1ccc(N)cc1,Z57202572
O=C1C(O)=C(O)C(C(O)CO)O1,Z57201291
S(=O)(=O)(Nc1sccn1)c1ccc(N)cc1,Z57198680
S(=O)(=O)(Nc1noc(C)c1)c1ccc(N)cc1,Z57198677
Clc1cc2NC(=O)Oc2cc1,Z57183224
O=C1C(O)=C(c2cc(O)c(O)cc2)Oc2c1c(O)cc(O)c2,Z57176222
O=C1C(CC=2C(=O)Oc3c(C=2O)cccc3)=C(O)c2c(O1)cccc2,Z57170530
O=C1Oc2c(cccc2)C=C1,Z57169486
Brc1[nH]c2C(=O)N(C)C(=O)N(C)c2n1,Z57161790
O=C(C(O)c1ccccc1)c1ccccc1,Z57160197
O=[N+]([O-])c1oc(/C=N/N2C(=O)OCC2)cc1,Z57152562
O=[N+]([O-])c1oc(/C=N/N2C(=O)NC(=O)C2)cc1,Z57152561
Oc1ccc(O)cc1,Z57127551
O=C(O)CCCCCCCC(=O)O,Z57127532
O=C(O)c1ccccc1,Z57127480
O=[N+]([O-])c1ccc(-c2ccccc2)cc1,Z57127477
O=C(O)c1c(O)ccc(N)c1,Z57127471
Oc1c(C(C)C)ccc(C)c1,Z57127464
O=C(O)CCC(=O)O,Z57127453
O=C(O)c1ccc(N)cc1,Z57127446
O=C(O)CCCCCN,Z57127439
O=C(OCCCC)c1ccc(N)cc1,Z57126994
O=[N+]([O-])c1cc([N+](=O)[O-])cc(C(=O)N)c1,Z57117643
Oc1ccc(CC(N)C)cc1,Z57102382
S(c1n(C)cnc1[N+](=O)[O-])c1ncnc2nc[nH]c12,Z57063156
O=C(OC)c1cnccc1,Z57036282
O=C(Nc1ccc(O)cc1)C,Z56946051
Fc1c(N2CCNCC2)cc2N(C3CC3)C=C(C(=O)O)C(=O)c2c1,Z56933707
Fc1c(N2CCNCC2)cc2N(CC)C=C(C(=O)O)C(=O)c2c1,Z56926638
Oc1c2ncccc2ccc1,Z56926518
SC1=NC(CCC)=CC(=O)N1,Z56922173
O=[N+]([O-])c1c2c(c(O)cc1)nccc2,Z56922155
FC(F)(F)c1cc(Nc2c(C(=O)O)cccn2)ccc1,Z56922127
O=C(O)C=1Oc2c(C(=O)C=1)cccc2,Z56922101
O=C(O)CCCCCNC(=O)C,Z56914861
O(CC)c1c(OCC)ccc(CC2=NCCc3c2cc(OCC)c(OCC)c3)c1.Cl,Z56896159
O=C1NC(=O)C=CN1,Z56889474
Ic1c(NC(=O)C)c(I)c(C(=O)O)c(I)c1NC(=O)C,Z56886396
NC(C)C12CC3CC(C1)CC(C2)C3.Cl,Z56872184
Nc1c2c(nc3c1cccc3)cccc2,Z56871821
O=C1N(N(C)C(C)=C1)c1ccccc1,Z56869297
O=C(N)CN1C(=O)CCC1,Z56865289
O=C(O)CCNC(=O)c1ccccc1,Z56854345
S(=O)(=O)(N)c1ccc(N)cc1,Z56851240
C(n1c2c(c3c1CCN(C)C3)cccc2)c1ccccc1,Z56841337
OC(CNCC)c1cc(O)ccc1,Z56836691
N(c1c(C)cccc1C)C=1SCCCN=1,Z56828371
S(N1CCOCC1)c1sc2c(n1)cccc2,Z56821717
O=C1NNC(=O)c2c1c(N)ccc2,Z56813244
O=C(O)C(CC)c1ccc(N2C(=O)c3c(cccc3)C2)cc1,Z56804486
FC(F)(F)c1cc(Nc2c(C(=O)O)cccc2)ccc1,Z56797275
N(CC)(CC)C=1n2ncnc2N=C(C)C=1,Z56791867
S(=O)(=O)(Nc1nc(C)cc(C)n1)c1ccc(N)cc1,Z56791687
O=C(Oc1ccc(C2(c3ccc(OC(=O)C)cc3)C(=O)Nc3c2cccc3)cc1)C,Z56791187
Nc1c2c(nc3c1CCCC3)cccc2,Z56790573
O=C1C(c2ccccc2)(c2ccccc2)NC(=O)N1,Z56786458
S(=O)(=O)(NC(=O)NC1CCCCC1)c1ccc(CCN2C(=O)C(C)(C)c3c(C2=O)cc(OC)cc3)cc1,Z56785257
Clc1ccc(C(=O)n2c(C)c(CC(=O)O)c3c2ccc(OC)c3)cc1,Z56784896
